Folder,File,NumRows,NumNaNs,NumChannels,NumPointAnomalies,NumSequenceAnomalies,Top3PointIndices,Top3SequenceIndices
mTSBench/Daphnet,Daphnet_S09R01E3_test.csv,36864,0,10,0,10,[],"[(1399, 1517), (7112, 8072), (9004, 9106)]"
mTSBench/Daphnet,Daphnet_S02R01E0_train.csv,5120,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S09R01E1_train.csv,1363,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S05R02E0_test.csv,28672,0,10,0,14,[],"[(0, 250), (3058, 3201), (3491, 3787)]"
mTSBench/Daphnet,Daphnet_S05R02E1_test.csv,24064,0,10,0,11,[],"[(11368, 11424), (12440, 12657), (13598, 13889)]"
mTSBench/Daphnet,Daphnet_S08R01E2_train.csv,2688,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S09R01E4_train.csv,1920,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S08R01E2_test.csv,10752,0,10,0,3,[],"[(1914, 2053), (3060, 3431), (5729, 6275)]"
mTSBench/Daphnet,Daphnet_S08R01E3_test.csv,8704,0,10,0,4,[],"[(1478, 2837), (4267, 5307), (5893, 7180)]"
mTSBench/Daphnet,Daphnet_S05R01E3_train.csv,1088,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S05R01E1_val.csv,3892,0,10,0,5,[],"[(0, 74), (473, 917), (1056, 2041)]"
mTSBench/Daphnet,Daphnet_S06R01E2_train.csv,5120,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S07R01E0_test.csv,59392,0,10,0,13,[],"[(454, 1068), (3145, 3198), (5049, 5323)]"
mTSBench/Daphnet,Daphnet_S09R01E2_train.csv,3592,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S02R02E0_test.csv,51968,0,10,0,14,[],"[(0, 207), (1793, 2516), (5959, 6675)]"
mTSBench/Daphnet,Daphnet_S03R01E0_test.csv,44032,0,10,0,16,[],"[(458, 1537), (3135, 3653), (4590, 5274)]"
mTSBench/Daphnet,Daphnet_S03R01E1_test.csv,28672,0,10,0,13,[],"[(76, 446), (788, 1301), (1547, 2195)]"
mTSBench/Daphnet,Daphnet_S09R01E1_test.csv,8704,0,10,0,6,[],"[(0, 616), (1243, 2129), (3043, 3226)]"
mTSBench/Daphnet,Daphnet_S09R01E0_test.csv,7680,0,10,0,4,[],"[(480, 541), (3785, 3896), (4789, 4832)]"
mTSBench/Daphnet,Daphnet_S08R01E3_train.csv,1499,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S05R01E3_test.csv,7680,0,10,0,7,[],"[(295, 692), (757, 1147), (1531, 1931)]"
mTSBench/Daphnet,Daphnet_S05R01E2_test.csv,11264,0,10,0,5,[],"[(0, 53), (2716, 3369), (4443, 4490)]"
mTSBench/Daphnet,Daphnet_S05R01E2_train.csv,1940,0,10,0,0,[],[]
mTSBench/Daphnet,Daphnet_S06R01E2_test.csv,20480,0,10,0,1,[],"[(1685, 1773)]"
mTSBench/Daphnet,Daphnet_S09R01E3_train.csv,8915,0,10,0,0,[],[]
mTSBench/Exathlon,Exathlon_3_5_1000000_89_train.csv,1183,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_5_4_1000000_82_train.csv,688,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_4_5_1000000_90_train.csv,513,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_5_5_1000000_91_test.csv,34460,0,21,1,1,[12341],"[(20325, 20326)]"
mTSBench/Exathlon,Exathlon_8_5_1000000_83_train.csv,1181,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_2_5_1000000_88_test.csv,2897,0,21,1,1,[1289],"[(0, 333)]"
mTSBench/Exathlon,Exathlon_9_5_1000000_84_train.csv,1182,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_1_4_1000000_80_test.csv,34470,0,21,0,4,[],"[(4008, 4507), (11416, 12612), (19417, 20115)]"
mTSBench/Exathlon,Exathlon_2_2_200000_69_test.csv,2300,0,21,0,1,[],"[(646, 2299)]"
mTSBench/Exathlon,Exathlon_8_5_1000000_83_test.csv,4728,0,21,0,1,[],"[(1775, 1834)]"
mTSBench/Exathlon,Exathlon_5_1_100000_64_test.csv,37328,0,21,0,3,[],"[(4152, 5043), (18511, 19402), (32869, 33835)]"
mTSBench/Exathlon,Exathlon_6_3_200000_76_test.csv,37324,0,21,0,4,[],"[(1469, 2366), (13134, 14030), (24800, 25697)]"
mTSBench/Exathlon,Exathlon_3_4_1000000_81_test.csv,3372,0,21,0,1,[],"[(1029, 1624)]"
mTSBench/Exathlon,Exathlon_9_4_1000000_78_test.csv,34484,0,21,0,4,[],"[(4054, 4552), (11460, 12651), (19457, 20154)]"
mTSBench/Exathlon,Exathlon_2_2_200000_69_train.csv,574,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_1_2_100000_68_test.csv,2349,0,21,0,1,[],"[(35, 2348)]"
mTSBench/Exathlon,Exathlon_2_5_1000000_88_train.csv,567,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_5_5_1000000_91_train.csv,8614,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_3_2_500000_70_test.csv,2089,0,21,0,1,[],"[(1293, 2088)]"
mTSBench/Exathlon,Exathlon_5_1_100000_63_test.csv,34453,0,21,0,3,[],"[(3977, 5761), (18340, 20119), (32698, 34452)]"
mTSBench/Exathlon,Exathlon_9_4_1000000_78_train.csv,7325,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_2_1_100000_60_test.csv,37324,0,21,0,3,[],"[(4151, 5077), (18509, 19425), (32866, 33783)]"
mTSBench/Exathlon,Exathlon_10_4_1000000_79_train.csv,7319,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_6_3_200000_76_train.csv,9330,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_5_2_1000000_72_test.csv,1985,0,21,0,1,[],"[(1030, 1984)]"
mTSBench/Exathlon,Exathlon_8_4_1000000_77_test.csv,34463,0,21,0,4,[],"[(4086, 4584), (11492, 12746), (19489, 20186)]"
mTSBench/Exathlon,Exathlon_10_2_1000000_67_test.csv,8200,0,21,0,1,[],"[(2971, 8199)]"
mTSBench/Exathlon,Exathlon_9_3_500000_74_test.csv,37320,0,21,0,4,[],"[(0, 564), (9534, 10430), (19400, 20297)]"
mTSBench/Exathlon,Exathlon_1_5_1000000_86_test.csv,2895,0,21,1,1,[526],"[(0, 414)]"
mTSBench/Exathlon,Exathlon_9_3_500000_74_train.csv,8998,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_6_1_500000_65_train.csv,8427,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_5_1_500000_62_test.csv,37328,0,21,0,5,[],"[(4138, 5034), (11314, 12210), (18491, 19387)]"
mTSBench/Exathlon,Exathlon_9_2_1000000_66_test.csv,5985,0,21,0,1,[],"[(2542, 5984)]"
mTSBench/Exathlon,Exathlon_4_5_1000000_90_test.csv,2897,0,21,1,1,[987],"[(0, 321)]"
mTSBench/Exathlon,Exathlon_10_3_1000000_75_test.csv,37325,0,21,0,4,[],"[(1453, 2349), (13115, 14012), (24778, 25674)]"
mTSBench/Exathlon,Exathlon_3_5_1000000_89_test.csv,4733,0,21,2,1,"[626, 2726]","[(1547, 1685)]"
mTSBench/Exathlon,Exathlon_4_1_100000_61_test.csv,77519,0,21,0,6,[],"[(3977, 4843), (17336, 19200), (31663, 33541)]"
mTSBench/Exathlon,Exathlon_2_5_1000000_87_train.csv,8619,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_3_4_1000000_81_train.csv,701,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_10_3_1000000_75_train.csv,9331,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_5_1_500000_62_train.csv,8435,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_1_2_100000_68_train.csv,587,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_8_4_1000000_77_train.csv,7319,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_1_4_1000000_80_train.csv,7319,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_5_2_1000000_72_train.csv,496,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_5_1_100000_64_train.csv,9332,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_8_3_200000_73_test.csv,37313,0,21,0,4,[],"[(1458, 2354), (13120, 14017), (24784, 25681)]"
mTSBench/Exathlon,Exathlon_9_2_1000000_66_train.csv,1496,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_4_1_100000_61_train.csv,24109,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_4_1_100000_61_val.csv,25839,0,21,0,2,[],"[(1100, 2884), (15456, 17239)]"
mTSBench/Exathlon,Exathlon_2_5_1000000_87_test.csv,34480,0,21,4,0,"[1379, 11349, 21328]",[]
mTSBench/Exathlon,Exathlon_10_4_1000000_79_test.csv,34469,0,21,0,4,[],"[(4034, 4533), (11449, 12695), (19443, 20141)]"
mTSBench/Exathlon,Exathlon_1_5_1000000_86_train.csv,664,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_9_5_1000000_84_test.csv,4735,0,21,1,1,[1341],"[(1709, 1824)]"
mTSBench/Exathlon,Exathlon_10_2_1000000_67_train.csv,2050,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_8_3_200000_73_train.csv,9328,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_5_1_100000_63_train.csv,8613,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_3_2_500000_70_train.csv,522,0,21,0,0,[],[]
mTSBench/Exathlon,Exathlon_6_1_500000_65_test.csv,37320,0,21,0,4,[],"[(5729, 6630), (13702, 14603), (21674, 22575)]"
mTSBench/Exathlon,Exathlon_5_4_1000000_82_test.csv,3375,0,21,0,2,[],"[(931, 1528), (3151, 3374)]"
mTSBench/Exathlon,Exathlon_2_1_100000_60_train.csv,9331,0,21,0,0,[],[]
mTSBench/GECCO,GECCO_water_quality_val.csv,27704,0,10,0,6,[],"[(12265, 12285), (13034, 13054), (13743, 13763)]"
mTSBench/GECCO,GECCO_water_quality_train.csv,27560,0,10,0,0,[],[]
mTSBench/GECCO,GECCO_water_quality_test.csv,83113,0,10,0,37,[],"[(4195, 4447), (7012, 7021), (8809, 8830)]"
mTSBench/Genesis,Genesis_val.csv,3644,0,19,0,1,[],"[(3340, 3361)]"
mTSBench/Genesis,Genesis_train.csv,3244,0,19,0,0,[],[]
mTSBench/Genesis,Genesis_test.csv,9332,0,19,0,2,[],"[(9050, 9051), (9053, 9078)]"
mTSBench/GHL,GHL_24_Lev_fault_Temp_corr_seed_83_vars_23_train.csv,120000,0,17,0,0,[],[]
mTSBench/GHL,GHL_46_Lev_corr_Temp_fault_seed_194_vars_23_test.csv,80001,0,17,0,2,[],"[(25345, 26207), (26822, 27000)]"
mTSBench/GHL,GHL_44_Lev_corr_Temp_fault_seed_190_vars_23_train.csv,120000,0,17,0,0,[],[]
mTSBench/GHL,GHL_20_Lev_fault_Temp_corr_seed_67_vars_23_test.csv,80001,0,17,0,1,[],"[(12027, 12170)]"
mTSBench/GHL,GHL_48_Lev_corr_Temp_fault_seed_199_vars_23_train.csv,120000,0,17,0,0,[],[]
mTSBench/GHL,GHL_18_Lev_fault_Temp_corr_seed_59_vars_23_train.csv,120000,0,17,0,0,[],[]
mTSBench/GHL,GHL_43_Lev_corr_Temp_fault_seed_189_vars_23_test.csv,80001,0,17,0,2,[],"[(2071, 2933), (3194, 4056)]"
mTSBench/GHL,GHL_17_Lev_fault_Temp_corr_seed_57_vars_23_test.csv,80001,0,17,0,1,[],"[(5784, 5928)]"
mTSBench/GHL,GHL_18_Lev_fault_Temp_corr_seed_59_vars_23_test.csv,80001,0,17,0,1,[],"[(2463, 2607)]"
mTSBench/GHL,GHL_43_Lev_corr_Temp_fault_seed_189_vars_23_train.csv,120000,0,17,0,0,[],[]
mTSBench/GHL,GHL_46_Lev_corr_Temp_fault_seed_194_vars_23_train.csv,120000,0,17,0,0,[],[]
mTSBench/GHL,GHL_24_Lev_fault_Temp_corr_seed_83_vars_23_test.csv,80001,0,17,0,1,[],"[(35599, 35742)]"
mTSBench/GHL,GHL_21_Lev_fault_Temp_corr_seed_73_vars_23_train.csv,120000,0,17,0,0,[],[]
mTSBench/GHL,GHL_44_Lev_corr_Temp_fault_seed_190_vars_23_test.csv,80001,0,17,0,4,[],"[(7448, 8310), (9026, 9889), (10398, 11259)]"
mTSBench/GHL,GHL_45_Lev_corr_Temp_fault_seed_193_vars_23_train.csv,120000,0,17,0,0,[],[]
mTSBench/GHL,GHL_45_Lev_corr_Temp_fault_seed_193_vars_23_test.csv,80001,0,17,0,3,[],"[(15016, 15878), (16277, 17139), (19437, 20000)]"
mTSBench/GHL,GHL_22_Lev_fault_Temp_corr_seed_777_vars_23_test.csv,80001,0,17,0,1,[],"[(24162, 24306)]"
mTSBench/GHL,GHL_20_Lev_fault_Temp_corr_seed_67_vars_23_train.csv,120000,0,17,0,0,[],[]
mTSBench/GHL,GHL_41_Lev_corr_Temp_fault_seed_181_vars_23_test.csv,114001,0,17,0,3,[],"[(109818, 110680), (111502, 112364), (112922, 113783)]"
mTSBench/GHL,GHL_19_Lev_fault_Temp_corr_seed_62_vars_23_train.csv,120000,0,17,0,0,[],[]
mTSBench/GHL,GHL_47_Lev_corr_Temp_fault_seed_197_vars_23_train.csv,120000,0,17,0,0,[],[]
mTSBench/GHL,GHL_17_Lev_fault_Temp_corr_seed_57_vars_23_train.csv,120000,0,17,0,0,[],[]
mTSBench/GHL,GHL_19_Lev_fault_Temp_corr_seed_62_vars_23_test.csv,80001,0,17,0,1,[],"[(15508, 15651)]"
mTSBench/GHL,GHL_22_Lev_fault_Temp_corr_seed_777_vars_23_train.csv,120000,0,17,0,0,[],[]
mTSBench/GHL,GHL_41_Lev_corr_Temp_fault_seed_181_vars_23_train.csv,85137,0,17,0,0,[],[]
mTSBench/GHL,GHL_41_Lev_corr_Temp_fault_seed_181_vars_23_val.csv,86000,0,17,0,1,[],"[(132, 994)]"
mTSBench/GHL,GHL_48_Lev_corr_Temp_fault_seed_199_vars_23_test.csv,80001,0,17,0,4,[],"[(34173, 35035), (35696, 36558), (36929, 37791)]"
mTSBench/GHL,GHL_47_Lev_corr_Temp_fault_seed_197_vars_23_test.csv,80001,0,17,0,1,[],"[(30060, 30921)]"
mTSBench/GHL,GHL_21_Lev_fault_Temp_corr_seed_73_vars_23_test.csv,80001,0,17,0,1,[],"[(26317, 26461)]"
mTSBench/GutenTAG,GutenTAG_0_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_24_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_25_test.csv,10000,0,21,0,2,[],"[(3061, 3256), (8888, 9076)]"
mTSBench/GutenTAG,GutenTAG_24_test.csv,10000,0,21,0,1,[],"[(6548, 6741)]"
mTSBench/GutenTAG,GutenTAG_11_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_11_test.csv,10000,0,21,0,2,[],"[(2543, 2720), (2895, 2978)]"
mTSBench/GutenTAG,GutenTAG_10_test.csv,10000,0,21,0,1,[],"[(4819, 4962)]"
mTSBench/GutenTAG,GutenTAG_29_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_17_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_6_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_22_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_4_test.csv,10000,0,21,0,3,[],"[(2068, 2129), (5046, 5181), (8401, 8545)]"
mTSBench/GutenTAG,GutenTAG_5_test.csv,10000,0,21,0,3,[],"[(3479, 3576), (4204, 4323), (5572, 5770)]"
mTSBench/GutenTAG,GutenTAG_25_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_1_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_9_test.csv,10000,0,21,0,1,[],"[(7280, 7355)]"
mTSBench/GutenTAG,GutenTAG_8_test.csv,10000,0,21,0,1,[],"[(1544, 1721)]"
mTSBench/GutenTAG,GutenTAG_10_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_28_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_3_test.csv,10000,0,21,0,2,[],"[(8074, 8189), (8695, 8769)]"
mTSBench/GutenTAG,GutenTAG_2_test.csv,10000,0,21,0,3,[],"[(5424, 5561), (7371, 7458), (8595, 8781)]"
mTSBench/GutenTAG,GutenTAG_16_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_23_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_22_test.csv,10000,0,21,0,3,[],"[(1840, 2038), (2287, 2462), (8761, 8957)]"
mTSBench/GutenTAG,GutenTAG_23_test.csv,10000,0,21,0,3,[],"[(1928, 2095), (2393, 2574), (5930, 6112)]"
mTSBench/GutenTAG,GutenTAG_7_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_16_test.csv,10000,0,21,0,2,[],"[(1645, 1816), (1845, 1991)]"
mTSBench/GutenTAG,GutenTAG_17_test.csv,10000,0,21,0,3,[],"[(5262, 5432), (6693, 6875), (8078, 8203)]"
mTSBench/GutenTAG,GutenTAG_28_test.csv,10000,0,21,0,2,[],"[(2509, 2704), (8572, 8735)]"
mTSBench/GutenTAG,GutenTAG_29_test.csv,10000,0,21,0,1,[],"[(4841, 5037)]"
mTSBench/GutenTAG,GutenTAG_13_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_2_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_7_test.csv,10000,0,21,0,2,[],"[(5147, 5302), (6005, 6127)]"
mTSBench/GutenTAG,GutenTAG_6_test.csv,10000,0,21,0,1,[],"[(3627, 3779)]"
mTSBench/GutenTAG,GutenTAG_26_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_4_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_20_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_12_test.csv,10000,0,21,0,3,[],"[(3287, 3395), (3935, 4092), (5402, 5583)]"
mTSBench/GutenTAG,GutenTAG_13_test.csv,10000,0,21,0,1,[],"[(7582, 7778)]"
mTSBench/GutenTAG,GutenTAG_15_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_18_test.csv,10000,0,21,0,1,[],"[(6917, 7147)]"
mTSBench/GutenTAG,GutenTAG_19_test.csv,10000,0,21,0,1,[],"[(1727, 1910)]"
mTSBench/GutenTAG,GutenTAG_9_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_26_test.csv,10000,0,21,0,3,[],"[(1948, 2145), (7500, 7698), (8713, 8905)]"
mTSBench/GutenTAG,GutenTAG_27_test.csv,10000,0,21,0,2,[],"[(5798, 5993), (6862, 7049)]"
mTSBench/GutenTAG,GutenTAG_18_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_12_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_15_test.csv,10000,0,21,0,3,[],"[(5534, 5665), (6507, 6651), (7166, 7353)]"
mTSBench/GutenTAG,GutenTAG_14_test.csv,10000,0,21,0,3,[],"[(1058, 1231), (5480, 5658), (5903, 6099)]"
mTSBench/GutenTAG,GutenTAG_27_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_3_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_0_val.csv,4000,0,21,0,1,[],"[(1234, 1287)]"
mTSBench/GutenTAG,GutenTAG_21_test.csv,10000,0,21,0,2,[],"[(3055, 3253), (6739, 6931)]"
mTSBench/GutenTAG,GutenTAG_20_test.csv,10000,0,21,0,2,[],"[(5314, 5509), (6253, 6449)]"
mTSBench/GutenTAG,GutenTAG_21_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_5_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_14_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_0_test.csv,10000,0,21,0,1,[],"[(6414, 6590)]"
mTSBench/GutenTAG,GutenTAG_1_test.csv,10000,0,21,0,1,[],"[(1574, 1738)]"
mTSBench/GutenTAG,GutenTAG_8_train.csv,1000,0,21,0,0,[],[]
mTSBench/GutenTAG,GutenTAG_19_train.csv,1000,0,21,0,0,[],[]
mTSBench/metro,metro_traffic-volume_val.csv,24102,0,6,26,2,"[126, 1123, 1370]","[(19675, 19676), (20344, 20345)]"
mTSBench/metro,metro_traffic-volume_test.csv,24102,0,6,20,5,"[552, 1900, 3122]","[(2217, 2218), (5401, 5402), (5978, 5979)]"
mTSBench/metro,metro_traffic-volume_train.csv,24072,0,6,0,0,[],[]
mTSBench/MITDB,MITDB_233_train.csv,84478,0,3,0,0,[],[]
mTSBench/MITDB,MITDB_118_train.csv,122261,0,3,0,0,[],[]
mTSBench/MITDB,MITDB_230_test.csv,520000,0,3,0,2,[],"[(409948, 410234), (499214, 499500)]"
mTSBench/MITDB,MITDB_212_train.csv,130000,0,3,0,0,[],[]
mTSBench/MITDB,MITDB_117_test.csv,520000,0,3,0,1,[],"[(131329, 131753)]"
mTSBench/MITDB,MITDB_116_test.csv,520000,0,3,0,96,[],"[(1887, 2221), (4564, 4929), (10761, 11113)]"
mTSBench/MITDB,MITDB_123_test.csv,520000,0,3,0,3,[],"[(22255, 22687), (415660, 416092), (469831, 470263)]"
mTSBench/MITDB,MITDB_122_test.csv,520000,0,3,0,1,[],"[(6913, 7377)]"
mTSBench/MITDB,MITDB_205_test.csv,520000,0,3,0,37,[],"[(626, 936), (70926, 71229), (100489, 100775)]"
mTSBench/MITDB,MITDB_115_train.csv,130000,0,3,0,0,[],[]
mTSBench/MITDB,MITDB_101_train.csv,128599,0,3,0,0,[],[]
mTSBench/MITDB,MITDB_214_train.csv,107172,0,3,0,0,[],[]
