dataset,prediction,ground_truth
daphnet_s05r01e3,"['MCD', 'CNN', 'OFA', 'TimesNet', 'LSTMAD', 'KMeansAD', 'OmniAnomaly', 'PCA', 'ALLM4TS', 'AutoEncoder', 'USAD', 'TranAD', 'LOF', 'OCSVM', 'EIF', 'CBLOF', 'COPOD', 'FITS', 'HBOS', 'KNN', 'IForest', 'Donut', 'RobustPCA', 'AnomalyTransformer']","['KMeansAD', 'LOF', 'KNN', 'RobustPCA', 'FITS', 'AnomalyTransformer', 'HBOS', 'ALLM4TS', 'TimesNet', 'USAD', 'COPOD', 'OFA', 'MCD', 'EIF', 'TranAD', 'OCSVM', 'Donut', 'LSTMAD', 'CBLOF', 'CNN', 'OmniAnomaly', 'PCA', 'AutoEncoder', 'IForest']"
daphnet_s05r02e0,"['MCD', 'KMeansAD', 'CNN', 'OFA', 'OmniAnomaly', 'TimesNet', 'LSTMAD', 'ALLM4TS', 'PCA', 'USAD', 'AutoEncoder', 'TranAD', 'OCSVM', 'CBLOF', 'LOF', 'FITS', 'EIF', 'Donut', 'COPOD', 'KNN', 'HBOS', 'IForest', 'RobustPCA', 'AnomalyTransformer']","['FITS', 'OFA', 'TimesNet', 'ALLM4TS', 'KMeansAD', 'KNN', 'CBLOF', 'USAD', 'IForest', 'EIF', 'CNN', 'OmniAnomaly', 'PCA', 'LOF', 'Donut', 'TranAD', 'HBOS', 'AnomalyTransformer', 'LSTMAD', 'COPOD', 'AutoEncoder', 'OCSVM', 'MCD', 'RobustPCA']"
daphnet_s05r02e1,"['MCD', 'CNN', 'TimesNet', 'OFA', 'LSTMAD', 'KMeansAD', 'OmniAnomaly', 'PCA', 'ALLM4TS', 'USAD', 'TranAD', 'AutoEncoder', 'LOF', 'OCSVM', 'FITS', 'CBLOF', 'EIF', 'COPOD', 'Donut', 'HBOS', 'IForest', 'KNN', 'RobustPCA', 'AnomalyTransformer']","['FITS', 'OFA', 'ALLM4TS', 'KNN', 'KMeansAD', 'TimesNet', 'AutoEncoder', 'MCD', 'OCSVM', 'LOF', 'AnomalyTransformer', 'CBLOF', 'USAD', 'Donut', 'TranAD', 'EIF', 'RobustPCA', 'HBOS', 'LSTMAD', 'CNN', 'COPOD', 'OmniAnomaly', 'PCA', 'IForest']"
daphnet_s06r01e0,"['MCD', 'CNN', 'OmniAnomaly', 'KMeansAD', 'LSTMAD', 'OFA', 'TimesNet', 'PCA', 'AutoEncoder', 'USAD', 'ALLM4TS', 'TranAD', 'CBLOF', 'EIF', 'OCSVM', 'COPOD', 'HBOS', 'IForest', 'LOF', 'FITS', 'KNN', 'Donut', 'RobustPCA', 'AnomalyTransformer']","['KMeansAD', 'LOF', 'KNN', 'CBLOF', 'FITS', 'AnomalyTransformer', 'OFA', 'TimesNet', 'EIF', 'IForest', 'HBOS', 'COPOD', 'CNN', 'RobustPCA', 'TranAD', 'LSTMAD', 'OCSVM', 'USAD', 'MCD', 'Donut', 'AutoEncoder', 'PCA', 'OmniAnomaly', 'ALLM4TS']"
daphnet_s06r01e1,"['MCD', 'CNN', 'TimesNet', 'OmniAnomaly', 'OFA', 'LSTMAD', 'PCA', 'KMeansAD', 'ALLM4TS', 'AutoEncoder', 'USAD', 'TranAD', 'CBLOF', 'EIF', 'OCSVM', 'HBOS', 'COPOD', 'IForest', 'FITS', 'LOF', 'KNN', 'Donut', 'RobustPCA', 'AnomalyTransformer']","['KMeansAD', 'LOF', 'KNN', 'CNN', 'MCD', 'LSTMAD', 'OCSVM', 'EIF', 'CBLOF', 'COPOD', 'HBOS', 'OFA', 'FITS', 'TranAD', 'Donut', 'USAD', 'OmniAnomaly', 'PCA', 'ALLM4TS', 'TimesNet', 'AutoEncoder', 'IForest', 'AnomalyTransformer', 'RobustPCA']"
daphnet_s06r01e2,"['MCD', 'OmniAnomaly', 'KMeansAD', 'PCA', 'CNN', 'EIF', 'TimesNet', 'ALLM4TS', 'CBLOF', 'OFA', 'USAD', 'HBOS', 'TranAD', 'LSTMAD', 'COPOD', 'OCSVM', 'AutoEncoder', 'FITS', 'KNN', 'IForest', 'LOF', 'Donut', 'RobustPCA', 'AnomalyTransformer']","['ALLM4TS', 'HBOS', 'CBLOF', 'OFA', 'OmniAnomaly', 'PCA', 'AnomalyTransformer', 'KMeansAD', 'IForest', 'LOF', 'CNN', 'Donut', 'EIF', 'RobustPCA', 'KNN', 'MCD', 'OCSVM', 'TimesNet', 'FITS', 'AutoEncoder', 'USAD', 'COPOD', 'TranAD', 'LSTMAD']"
daphnet_s07r01e0,"['MCD', 'OmniAnomaly', 'KMeansAD', 'CNN', 'PCA', 'OFA', 'TimesNet', 'ALLM4TS', 'EIF', 'LSTMAD', 'USAD', 'CBLOF', 'TranAD', 'HBOS', 'COPOD', 'OCSVM', 'AutoEncoder', 'FITS', 'KNN', 'LOF', 'IForest', 'Donut', 'RobustPCA', 'AnomalyTransformer']","['KMeansAD', 'OFA', 'KNN', 'IForest', 'FITS', 'LOF', 'PCA', 'OmniAnomaly', 'TimesNet', 'CBLOF', 'COPOD', 'EIF', 'LSTMAD', 'HBOS', 'CNN', 'USAD', 'MCD', 'OCSVM', 'TranAD', 'Donut', 'AutoEncoder', 'RobustPCA', 'AnomalyTransformer', 'ALLM4TS']"
daphnet_s07r02e0,"['MCD', 'CNN', 'KMeansAD', 'OmniAnomaly', 'OFA', 'LSTMAD', 'TimesNet', 'PCA', 'ALLM4TS', 'USAD', 'TranAD', 'AutoEncoder', 'EIF', 'CBLOF', 'COPOD', 'OCSVM', 'FITS', 'HBOS', 'LOF', 'KNN', 'IForest', 'Donut', 'RobustPCA', 'AnomalyTransformer']","['KMeansAD', 'LOF', 'KNN', 'FITS', 'AnomalyTransformer', 'OFA', 'TimesNet', 'CBLOF', 'LSTMAD', 'RobustPCA', 'EIF', 'HBOS', 'COPOD', 'ALLM4TS', 'CNN', 'USAD', 'TranAD', 'PCA', 'OmniAnomaly', 'IForest', 'MCD', 'OCSVM', 'AutoEncoder', 'Donut']"
daphnet_s08r01e0,"['MCD', 'TimesNet', 'CNN', 'OFA', 'LSTMAD', 'OmniAnomaly', 'KMeansAD', 'PCA', 'ALLM4TS', 'USAD', 'CBLOF', 'AutoEncoder', 'TranAD', 'EIF', 'FITS', 'COPOD', 'HBOS', 'IForest', 'KNN', 'OCSVM', 'LOF', 'Donut', 'RobustPCA', 'AnomalyTransformer']","['AnomalyTransformer', 'KMeansAD', 'RobustPCA', 'LOF', 'MCD', 'OCSVM', 'OFA', 'AutoEncoder', 'ALLM4TS', 'KNN', 'HBOS', 'IForest', 'EIF', 'OmniAnomaly', 'PCA', 'TranAD', 'USAD', 'COPOD', 'FITS', 'CBLOF', 'TimesNet', 'LSTMAD', 'CNN', 'Donut']"
daphnet_s08r01e1,"['MCD', 'CNN', 'OmniAnomaly', 'LSTMAD', 'TimesNet', 'PCA', 'OFA', 'KMeansAD', 'USAD', 'TranAD', 'AutoEncoder', 'ALLM4TS', 'CBLOF', 'EIF', 'IForest', 'HBOS', 'FITS', 'COPOD', 'LOF', 'OCSVM', 'KNN', 'Donut', 'RobustPCA', 'AnomalyTransformer']","['LOF', 'AnomalyTransformer', 'RobustPCA', 'FITS', 'KNN', 'OFA', 'TimesNet', 'KMeansAD', 'LSTMAD', 'Donut', 'CBLOF', 'HBOS', 'EIF', 'MCD', 'CNN', 'AutoEncoder', 'COPOD', 'TranAD', 'OCSVM', 'USAD', 'OmniAnomaly', 'PCA', 'ALLM4TS', 'IForest']"
daphnet_s08r01e2,"['MCD', 'OFA', 'TimesNet', 'CNN', 'LSTMAD', 'OmniAnomaly', 'KMeansAD', 'ALLM4TS', 'PCA', 'USAD', 'AutoEncoder', 'TranAD', 'CBLOF', 'FITS', 'LOF', 'EIF', 'OCSVM', 'IForest', 'Donut', 'COPOD', 'HBOS', 'KNN', 'RobustPCA', 'AnomalyTransformer']","['KMeansAD', 'OFA', 'PCA', 'OmniAnomaly', 'KNN', 'ALLM4TS', 'LOF', 'TimesNet', 'FITS', 'IForest', 'COPOD', 'HBOS', 'LSTMAD', 'EIF', 'Donut', 'MCD', 'OCSVM', 'CBLOF', 'CNN', 'AutoEncoder', 'TranAD', 'USAD', 'AnomalyTransformer', 'RobustPCA']"
daphnet_s08r01e3,"['MCD', 'CNN', 'LSTMAD', 'TimesNet', 'OmniAnomaly', 'OFA', 'PCA', 'KMeansAD', 'USAD', 'AutoEncoder', 'TranAD', 'ALLM4TS', 'EIF', 'CBLOF', 'LOF', 'HBOS', 'OCSVM', 'COPOD', 'FITS', 'KNN', 'Donut', 'IForest', 'RobustPCA', 'AnomalyTransformer']","['LOF', 'OFA', 'KMeansAD', 'OmniAnomaly', 'PCA', 'FITS', 'TimesNet', 'KNN', 'ALLM4TS', 'IForest', 'RobustPCA', 'AnomalyTransformer', 'Donut', 'TranAD', 'MCD', 'USAD', 'LSTMAD', 'AutoEncoder', 'CNN', 'CBLOF', 'COPOD', 'HBOS', 'EIF', 'OCSVM']"
daphnet_s09r01e0,"['MCD', 'TimesNet', 'OFA', 'CNN', 'LSTMAD', 'OmniAnomaly', 'PCA', 'ALLM4TS', 'KMeansAD', 'USAD', 'AutoEncoder', 'TranAD', 'LOF', 'IForest', 'FITS', 'OCSVM', 'CBLOF', 'Donut', 'KNN', 'EIF', 'COPOD', 'HBOS', 'RobustPCA', 'AnomalyTransformer']","['KMeansAD', 'LOF', 'KNN', 'OmniAnomaly', 'PCA', 'IForest', 'CBLOF', 'LSTMAD', 'CNN', 'EIF', 'MCD', 'OCSVM', 'HBOS', 'COPOD', 'USAD', 'TranAD', 'FITS', 'AnomalyTransformer', 'AutoEncoder', 'RobustPCA', 'TimesNet', 'Donut', 'ALLM4TS', 'OFA']"
daphnet_s09r01e1,"['MCD', 'KMeansAD', 'OFA', 'CNN', 'LSTMAD', 'ALLM4TS', 'TimesNet', 'OmniAnomaly', 'PCA', 'AutoEncoder', 'USAD', 'TranAD', 'OCSVM', 'LOF', 'CBLOF', 'EIF', 'COPOD', 'FITS', 'KNN', 'HBOS', 'Donut', 'IForest', 'RobustPCA', 'AnomalyTransformer']","['KMeansAD', 'LOF', 'CBLOF', 'AnomalyTransformer', 'KNN', 'FITS', 'RobustPCA', 'IForest', 'AutoEncoder', 'TimesNet', 'OFA', 'MCD', 'OCSVM', 'EIF', 'HBOS', 'COPOD', 'LSTMAD', 'USAD', 'Donut', 'ALLM4TS', 'TranAD', 'CNN', 'OmniAnomaly', 'PCA']"
daphnet_s09r01e2,"['MCD', 'KMeansAD', 'OFA', 'CNN', 'ALLM4TS', 'OmniAnomaly', 'TimesNet', 'PCA', 'LSTMAD', 'AutoEncoder', 'USAD', 'TranAD', 'CBLOF', 'OCSVM', 'LOF', 'EIF', 'HBOS', 'FITS', 'COPOD', 'Donut', 'KNN', 'RobustPCA', 'IForest', 'AnomalyTransformer']","['COPOD', 'Donut', 'TranAD', 'USAD', 'KNN', 'KMeansAD', 'HBOS', 'CNN', 'EIF', 'FITS', 'ALLM4TS', 'OmniAnomaly', 'PCA', 'LSTMAD', 'OFA', 'CBLOF', 'TimesNet', 'IForest', 'LOF', 'AnomalyTransformer', 'AutoEncoder', 'MCD', 'OCSVM', 'RobustPCA']"
daphnet_s09r01e3,"['MCD', 'CNN', 'TimesNet', 'OFA', 'OmniAnomaly', 'LSTMAD', 'KMeansAD', 'ALLM4TS', 'PCA', 'USAD', 'TranAD', 'CBLOF', 'FITS', 'EIF', 'OCSVM', 'AutoEncoder', 'COPOD', 'Donut', 'HBOS', 'KNN', 'IForest', 'LOF', 'RobustPCA', 'AnomalyTransformer']","['KMeansAD', 'IForest', 'OFA', 'OmniAnomaly', 'PCA', 'COPOD', 'KNN', 'ALLM4TS', 'FITS', 'HBOS', 'TimesNet', 'EIF', 'CBLOF', 'LSTMAD', 'USAD', 'TranAD', 'Donut', 'LOF', 'AutoEncoder', 'CNN', 'MCD', 'AnomalyTransformer', 'OCSVM', 'RobustPCA']"
daphnet_s09r01e4,"['MCD', 'CNN', 'OFA', 'LSTMAD', 'TimesNet', 'KMeansAD', 'OmniAnomaly', 'PCA', 'AutoEncoder', 'ALLM4TS', 'USAD', 'TranAD', 'LOF', 'OCSVM', 'FITS', 'COPOD', 'CBLOF', 'EIF', 'Donut', 'HBOS', 'KNN', 'IForest', 'RobustPCA', 'AnomalyTransformer']","['ALLM4TS', 'KMeansAD', 'IForest', 'COPOD', 'PCA', 'OmniAnomaly', 'HBOS', 'EIF', 'FITS', 'KNN', 'LSTMAD', 'OFA', 'CBLOF', 'CNN', 'TranAD', 'Donut', 'TimesNet', 'USAD', 'MCD', 'OCSVM', 'AutoEncoder', 'LOF', 'AnomalyTransformer', 'RobustPCA']"
exathlon_10_2_1000000_67,"['KMeansAD', 'ALLM4TS', 'MCD', 'CNN', 'KNN', 'Donut', 'EIF', 'OFA', 'COPOD', 'HBOS', 'LOF', 'OCSVM', 'OmniAnomaly', 'PCA', 'LSTMAD', 'TimesNet', 'CBLOF', 'TranAD', 'RobustPCA', 'FITS', 'USAD', 'IForest', 'AutoEncoder', 'AnomalyTransformer']","['AutoEncoder', 'MCD', 'OCSVM', 'RobustPCA', 'IForest', 'KNN', 'COPOD', 'KMeansAD', 'OFA', 'HBOS', 'TimesNet', 'AnomalyTransformer', 'FITS', 'PCA', 'LOF', 'EIF', 'CBLOF', 'Donut', 'LSTMAD', 'USAD', 'TranAD', 'OmniAnomaly', 'CNN', 'ALLM4TS']"
exathlon_10_3_1000000_75,"['ALLM4TS', 'OmniAnomaly', 'PCA', 'MCD', 'KMeansAD', 'OFA', 'CNN', 'Donut', 'LSTMAD', 'CBLOF', 'TimesNet', 'TranAD', 'USAD', 'OCSVM', 'AutoEncoder', 'KNN', 'EIF', 'FITS', 'COPOD', 'HBOS', 'LOF', 'RobustPCA', 'IForest', 'AnomalyTransformer']","['Donut', 'USAD', 'CNN', 'OmniAnomaly', 'PCA', 'TranAD', 'LSTMAD', 'OFA', 'MCD', 'IForest', 'ALLM4TS', 'RobustPCA', 'TimesNet', 'COPOD', 'AutoEncoder', 'EIF', 'HBOS', 'CBLOF', 'FITS', 'KMeansAD', 'OCSVM', 'KNN', 'LOF', 'AnomalyTransformer']"
exathlon_10_4_1000000_79,"['KMeansAD', 'MCD', 'ALLM4TS', 'OFA', 'OmniAnomaly', 'CNN', 'PCA', 'LSTMAD', 'OCSVM', 'LOF', 'AutoEncoder', 'USAD', 'TimesNet', 'EIF', 'KNN', 'Donut', 'HBOS', 'COPOD', 'TranAD', 'CBLOF', 'FITS', 'RobustPCA', 'IForest', 'AnomalyTransformer']","['TranAD', 'Donut', 'USAD', 'OmniAnomaly', 'LOF', 'KMeansAD', 'LSTMAD', 'PCA', 'AutoEncoder', 'CNN', 'TimesNet', 'OFA', 'KNN', 'FITS', 'IForest', 'ALLM4TS', 'RobustPCA', 'OCSVM', 'AnomalyTransformer', 'EIF', 'CBLOF', 'COPOD', 'HBOS', 'MCD']"
exathlon_1_2_100000_68,"['KMeansAD', 'ALLM4TS', 'KNN', 'OFA', 'Donut', 'MCD', 'LOF', 'HBOS', 'EIF', 'COPOD', 'OCSVM', 'CNN', 'PCA', 'OmniAnomaly', 'LSTMAD', 'RobustPCA', 'TranAD', 'TimesNet', 'CBLOF', 'FITS', 'IForest', 'AutoEncoder', 'USAD', 'AnomalyTransformer']","['MCD', 'AutoEncoder', 'RobustPCA', 'ALLM4TS', 'KMeansAD', 'OFA', 'HBOS', 'AnomalyTransformer', 'LOF', 'LSTMAD', 'CNN', 'FITS', 'Donut', 'TimesNet', 'OmniAnomaly', 'PCA', 'TranAD', 'COPOD', 'OCSVM', 'CBLOF', 'USAD', 'IForest', 'EIF', 'KNN']"
exathlon_1_4_1000000_80,"['KMeansAD', 'MCD', 'ALLM4TS', 'CNN', 'OmniAnomaly', 'PCA', 'OFA', 'LOF', 'LSTMAD', 'Donut', 'HBOS', 'OCSVM', 'EIF', 'KNN', 'COPOD', 'USAD', 'TimesNet', 'TranAD', 'AutoEncoder', 'CBLOF', 'FITS', 'RobustPCA', 'AnomalyTransformer', 'IForest']","['AutoEncoder', 'Donut', 'USAD', 'TranAD', 'PCA', 'OmniAnomaly', 'LSTMAD', 'CNN', 'OFA', 'KNN', 'ALLM4TS', 'CBLOF', 'EIF', 'KMeansAD', 'TimesNet', 'HBOS', 'MCD', 'COPOD', 'LOF', 'RobustPCA', 'IForest', 'FITS', 'AnomalyTransformer', 'OCSVM']"
exathlon_1_5_1000000_86,"['KMeansAD', 'KNN', 'HBOS', 'LOF', 'EIF', 'ALLM4TS', 'OCSVM', 'COPOD', 'OFA', 'MCD', 'CNN', 'LSTMAD', 'Donut', 'PCA', 'FITS', 'TimesNet', 'OmniAnomaly', 'RobustPCA', 'TranAD', 'AutoEncoder', 'IForest', 'CBLOF', 'AnomalyTransformer', 'USAD']","['IForest', 'KMeansAD', 'USAD', 'COPOD', 'CNN', 'TranAD', 'PCA', 'OmniAnomaly', 'LSTMAD', 'EIF', 'HBOS', 'Donut', 'FITS', 'TimesNet', 'MCD', 'OFA', 'OCSVM', 'AutoEncoder', 'CBLOF', 'KNN', 'LOF', 'AnomalyTransformer', 'ALLM4TS', 'RobustPCA']"
exathlon_2_1_100000_60,"['CNN', 'OmniAnomaly', 'PCA', 'MCD', 'ALLM4TS', 'KMeansAD', 'LSTMAD', 'TranAD', 'OFA', 'Donut', 'USAD', 'CBLOF', 'TimesNet', 'EIF', 'HBOS', 'AutoEncoder', 'COPOD', 'KNN', 'OCSVM', 'LOF', 'FITS', 'RobustPCA', 'IForest', 'AnomalyTransformer']","['IForest', 'LSTMAD', 'CNN', 'KMeansAD', 'PCA', 'OmniAnomaly', 'EIF', 'TranAD', 'COPOD', 'CBLOF', 'HBOS', 'KNN', 'USAD', 'OFA', 'FITS', 'TimesNet', 'Donut', 'ALLM4TS', 'RobustPCA', 'AnomalyTransformer', 'LOF', 'MCD', 'AutoEncoder', 'OCSVM']"
exathlon_2_2_200000_69,"['KMeansAD', 'HBOS', 'EIF', 'KNN', 'COPOD', 'LOF', 'OCSVM', 'OFA', 'ALLM4TS', 'MCD', 'PCA', 'OmniAnomaly', 'CNN', 'LSTMAD', 'FITS', 'CBLOF', 'TimesNet', 'IForest', 'USAD', 'TranAD', 'RobustPCA', 'Donut', 'AutoEncoder', 'AnomalyTransformer']","['PCA', 'OmniAnomaly', 'MCD', 'OFA', 'ALLM4TS', 'AutoEncoder', 'OCSVM', 'KMeansAD', 'CNN', 'Donut', 'LSTMAD', 'FITS', 'TimesNet', 'TranAD', 'IForest', 'HBOS', 'EIF', 'USAD', 'COPOD', 'LOF', 'CBLOF', 'KNN', 'AnomalyTransformer', 'RobustPCA']"
exathlon_2_5_1000000_87,"['OmniAnomaly', 'PCA', 'ALLM4TS', 'KMeansAD', 'MCD', 'CNN', 'OFA', 'USAD', 'CBLOF', 'OCSVM', 'TranAD', 'EIF', 'TimesNet', 'KNN', 'AutoEncoder', 'HBOS', 'FITS', 'LSTMAD', 'IForest', 'COPOD', 'Donut', 'LOF', 'RobustPCA', 'AnomalyTransformer']","['FITS', 'Donut', 'OmniAnomaly', 'PCA', 'OFA', 'LSTMAD', 'TranAD', 'OCSVM', 'USAD', 'AutoEncoder', 'CBLOF', 'EIF', 'KMeansAD', 'CNN', 'TimesNet', 'MCD', 'HBOS', 'IForest', 'KNN', 'RobustPCA', 'COPOD', 'AnomalyTransformer', 'ALLM4TS', 'LOF']"
exathlon_2_5_1000000_88,"['KMeansAD', 'ALLM4TS', 'MCD', 'OFA', 'PCA', 'CNN', 'LOF', 'OCSVM', 'EIF', 'KNN', 'Donut', 'OmniAnomaly', 'HBOS', 'COPOD', 'LSTMAD', 'AutoEncoder', 'TranAD', 'TimesNet', 'FITS', 'USAD', 'CBLOF', 'RobustPCA', 'IForest', 'AnomalyTransformer']","['IForest', 'KMeansAD', 'CNN', 'LSTMAD', 'KNN', 'USAD', 'CBLOF', 'TimesNet', 'PCA', 'ALLM4TS', 'OmniAnomaly', 'EIF', 'FITS', 'RobustPCA', 'TranAD', 'LOF', 'Donut', 'OFA', 'MCD', 'OCSVM', 'HBOS', 'COPOD', 'AnomalyTransformer', 'AutoEncoder']"
