dataset,top3_prediction,top3_ground_truth
daphnet_s09r01e3,"['MCD', 'CNN', 'TimesNet']","['KMeansAD', 'IForest', 'OFA']"
daphnet_s09r01e4,"['MCD', 'CNN', 'OFA']","['ALLM4TS', 'KMeansAD', 'IForest']"
exathlon_10_2_1000000_67,"['KMeansAD', 'ALLM4TS', 'MCD']","['AutoEncoder', 'MCD', 'OCSVM']"
exathlon_10_3_1000000_75,"['ALLM4TS', 'OmniAnomaly', 'PCA']","['Donut', 'USAD', 'CNN']"
exathlon_10_4_1000000_79,"['KMeansAD', 'MCD', 'ALLM4TS']","['TranAD', 'Donut', 'USAD']"
exathlon_1_2_100000_68,"['KMeansAD', 'ALLM4TS', 'KNN']","['MCD', 'AutoEncoder', 'RobustPCA']"
exathlon_1_4_1000000_80,"['KMeansAD', 'MCD', 'ALLM4TS']","['AutoEncoder', 'Donut', 'USAD']"
exathlon_1_5_1000000_86,"['KMeansAD', 'KNN', 'HBOS']","['IForest', 'KMeansAD', 'USAD']"
exathlon_2_1_100000_60,"['CNN', 'OmniAnomaly', 'PCA']","['IForest', 'LSTMAD', 'CNN']"
exathlon_2_2_200000_69,"['KMeansAD', 'HBOS', 'EIF']","['PCA', 'OmniAnomaly', 'MCD']"
exathlon_2_5_1000000_87,"['OmniAnomaly', 'PCA', 'ALLM4TS']","['FITS', 'Donut', 'OmniAnomaly']"
exathlon_2_5_1000000_88,"['KMeansAD', 'ALLM4TS', 'MCD']","['IForest', 'KMeansAD', 'CNN']"
exathlon_3_2_500000_70,"['KMeansAD', 'ALLM4TS', 'KNN']","['OCSVM', 'AutoEncoder', 'HBOS']"
exathlon_3_4_1000000_81,"['KMeansAD', 'LOF', 'KNN']","['PCA', 'MCD', 'IForest']"
exathlon_3_5_1000000_89,"['ALLM4TS', 'OmniAnomaly', 'MCD']","['TimesNet', 'OFA', 'FITS']"
exathlon_4_1_100000_61,"['KMeansAD', 'ALLM4TS', 'CNN']","['AutoEncoder', 'ALLM4TS', 'RobustPCA']"
exathlon_4_5_1000000_90,"['ALLM4TS', 'KMeansAD', 'MCD']","['PCA', 'OmniAnomaly', 'IForest']"
exathlon_5_1_100000_63,"['KMeansAD', 'ALLM4TS', 'PCA']","['RobustPCA', 'MCD', 'AutoEncoder']"
exathlon_5_1_100000_64,"['KMeansAD', 'ALLM4TS', 'CNN']","['OFA', 'Donut', 'OmniAnomaly']"
exathlon_5_1_500000_62,"['KMeansAD', 'MCD', 'CNN']","['AutoEncoder', 'Donut', 'TranAD']"
exathlon_5_2_1000000_72,"['KMeansAD', 'ALLM4TS', 'KNN']","['OCSVM', 'AutoEncoder', 'OFA']"
exathlon_5_4_1000000_82,"['KMeansAD', 'ALLM4TS', 'MCD']","['Donut', 'USAD', 'TranAD']"
exathlon_5_5_1000000_91,"['KMeansAD', 'ALLM4TS', 'OFA']","['OCSVM', 'MCD', 'KMeansAD']"
exathlon_6_1_500000_65,"['ALLM4TS', 'KMeansAD', 'MCD']","['KMeansAD', 'MCD', 'OFA']"
exathlon_6_3_200000_76,"['KMeansAD', 'ALLM4TS', 'OmniAnomaly']","['Donut', 'USAD', 'TranAD']"
exathlon_8_3_200000_73,"['OmniAnomaly', 'PCA', 'ALLM4TS']","['Donut', 'USAD', 'OmniAnomaly']"
exathlon_8_4_1000000_77,"['KMeansAD', 'ALLM4TS', 'PCA']","['EIF', 'CNN', 'LSTMAD']"
exathlon_8_5_1000000_83,"['KMeansAD', 'ALLM4TS', 'MCD']","['OFA', 'OmniAnomaly', 'PCA']"
exathlon_9_2_1000000_66,"['KMeansAD', 'HBOS', 'EIF']","['MCD', 'OCSVM', 'ALLM4TS']"
exathlon_9_3_500000_74,"['KMeansAD', 'CNN', 'OmniAnomaly']","['Donut', 'USAD', 'TranAD']"
exathlon_9_4_1000000_78,"['KMeansAD', 'PCA', 'OmniAnomaly']","['AutoEncoder', 'CNN', 'LSTMAD']"
exathlon_9_5_1000000_84,"['KMeansAD', 'ALLM4TS', 'MCD']","['IForest', 'KMeansAD', 'CBLOF']"
gecco_water_quality,"['KMeansAD', 'MCD', 'CNN']","['LSTMAD', 'OFA', 'TimesNet']"
ghl_17_lev_fault_temp_corr_seed_57_vars_23,"['KMeansAD', 'EIF', 'HBOS']","['OCSVM', 'MCD', 'AutoEncoder']"
ghl_18_lev_fault_temp_corr_seed_59_vars_23,"['KMeansAD', 'HBOS', 'COPOD']","['MCD', 'OCSVM', 'AutoEncoder']"
ghl_19_lev_fault_temp_corr_seed_62_vars_23,"['KMeansAD', 'HBOS', 'COPOD']","['OCSVM', 'OFA', 'EIF']"
ghl_20_lev_fault_temp_corr_seed_67_vars_23,"['KMeansAD', 'HBOS', 'KNN']","['MCD', 'AutoEncoder', 'OCSVM']"
ghl_21_lev_fault_temp_corr_seed_73_vars_23,"['KMeansAD', 'EIF', 'COPOD']","['OCSVM', 'MCD', 'ALLM4TS']"
ghl_22_lev_fault_temp_corr_seed_777_vars_23,"['KMeansAD', 'HBOS', 'KNN']","['OCSVM', 'MCD', 'EIF']"
ghl_24_lev_fault_temp_corr_seed_83_vars_23,"['KMeansAD', 'HBOS', 'COPOD']","['MCD', 'OCSVM', 'OFA']"
ghl_41_lev_corr_temp_fault_seed_181_vars_23,"['KMeansAD', 'EIF', 'HBOS']","['KMeansAD', 'EIF', 'CBLOF']"
ghl_43_lev_corr_temp_fault_seed_189_vars_23,"['KMeansAD', 'HBOS', 'EIF']","['KMeansAD', 'LSTMAD', 'AnomalyTransformer']"
ghl_44_lev_corr_temp_fault_seed_190_vars_23,"['KMeansAD', 'HBOS', 'EIF']","['CNN', 'CBLOF', 'RobustPCA']"
ghl_45_lev_corr_temp_fault_seed_193_vars_23,"['KMeansAD', 'HBOS', 'EIF']","['OCSVM', 'ALLM4TS', 'AutoEncoder']"
ghl_46_lev_corr_temp_fault_seed_194_vars_23,"['KMeansAD', 'HBOS', 'COPOD']","['CNN', 'EIF', 'KMeansAD']"
ghl_47_lev_corr_temp_fault_seed_197_vars_23,"['KMeansAD', 'HBOS', 'EIF']","['KMeansAD', 'CNN', 'RobustPCA']"
ghl_48_lev_corr_temp_fault_seed_199_vars_23,"['KMeansAD', 'EIF', 'COPOD']","['ALLM4TS', 'Donut', 'OCSVM']"
genesis,"['KMeansAD', 'HBOS', 'EIF']","['KMeansAD', 'IForest', 'TranAD']"
gutentag_0,"['ALLM4TS', 'KMeansAD', 'OFA']","['KMeansAD', 'OmniAnomaly', 'PCA']"
gutentag_10,"['ALLM4TS', 'KMeansAD', 'OFA']","['OFA', 'KNN', 'OmniAnomaly']"
gutentag_11,"['ALLM4TS', 'OFA', 'KMeansAD']","['AutoEncoder', 'LSTMAD', 'TranAD']"
gutentag_12,"['ALLM4TS', 'KMeansAD', 'OFA']","['KMeansAD', 'OFA', 'PCA']"
gutentag_13,"['ALLM4TS', 'OFA', 'KMeansAD']","['CNN', 'OmniAnomaly', 'PCA']"
gutentag_14,"['ALLM4TS', 'KMeansAD', 'OFA']","['OFA', 'KNN', 'KMeansAD']"
gutentag_15,"['ALLM4TS', 'KMeansAD', 'OFA']","['CNN', 'LSTMAD', 'OFA']"
gutentag_16,"['ALLM4TS', 'KMeansAD', 'OFA']","['OmniAnomaly', 'PCA', 'OFA']"
gutentag_17,"['ALLM4TS', 'KMeansAD', 'OFA']","['OmniAnomaly', 'PCA', 'OFA']"
gutentag_18,"['ALLM4TS', 'KMeansAD', 'OFA']","['PCA', 'OmniAnomaly', 'AutoEncoder']"
gutentag_19,"['KMeansAD', 'ALLM4TS', 'OFA']","['OmniAnomaly', 'PCA', 'CNN']"
gutentag_1,"['ALLM4TS', 'KMeansAD', 'OFA']","['OFA', 'MCD', 'ALLM4TS']"
gutentag_20,"['ALLM4TS', 'KMeansAD', 'OFA']","['OmniAnomaly', 'PCA', 'CNN']"
gutentag_21,"['ALLM4TS', 'KMeansAD', 'OFA']","['OFA', 'ALLM4TS', 'KMeansAD']"
gutentag_22,"['ALLM4TS', 'KMeansAD', 'OFA']","['KMeansAD', 'KNN', 'LOF']"
gutentag_23,"['ALLM4TS', 'KMeansAD', 'OFA']","['OmniAnomaly', 'PCA', 'LSTMAD']"
gutentag_24,"['ALLM4TS', 'KMeansAD', 'OFA']","['OmniAnomaly', 'PCA', 'CNN']"
gutentag_25,"['ALLM4TS', 'KMeansAD', 'OFA']","['OFA', 'KNN', 'OmniAnomaly']"
gutentag_26,"['KMeansAD', 'ALLM4TS', 'OFA']","['PCA', 'OmniAnomaly', 'ALLM4TS']"
gutentag_27,"['ALLM4TS', 'KMeansAD', 'OFA']","['PCA', 'OmniAnomaly', 'USAD']"
gutentag_28,"['ALLM4TS', 'KMeansAD', 'OFA']","['OmniAnomaly', 'PCA', 'CNN']"
gutentag_29,"['ALLM4TS', 'KMeansAD', 'OFA']","['OFA', 'KNN', 'FITS']"
gutentag_2,"['ALLM4TS', 'OFA', 'MCD']","['AutoEncoder', 'TranAD', 'USAD']"
gutentag_3,"['ALLM4TS', 'OFA', 'KMeansAD']","['OmniAnomaly', 'PCA', 'OFA']"
gutentag_4,"['ALLM4TS', 'KMeansAD', 'OFA']","['OFA', 'KMeansAD', 'OmniAnomaly']"
gutentag_5,"['ALLM4TS', 'KMeansAD', 'OFA']","['MCD', 'AutoEncoder', 'TranAD']"
gutentag_6,"['ALLM4TS', 'KMeansAD', 'OFA']","['OmniAnomaly', 'PCA', 'TranAD']"
gutentag_7,"['ALLM4TS', 'OFA', 'KMeansAD']","['ALLM4TS', 'LSTMAD', 'TranAD']"
gutentag_8,"['ALLM4TS', 'KMeansAD', 'OFA']","['KMeansAD', 'KNN', 'CBLOF']"
gutentag_9,"['ALLM4TS', 'OFA', 'KMeansAD']","['IForest', 'KNN', 'USAD']"
mitdb_100,"['IForest', 'TimesNet', 'OFA']","['AnomalyTransformer', 'CNN', 'IForest']"
mitdb_101,"['OmniAnomaly', 'CNN', 'ALLM4TS']","['USAD', 'TranAD', 'CNN']"
mitdb_102,"['OmniAnomaly', 'ALLM4TS', 'CNN']","['OFA', 'IForest', 'CNN']"
mitdb_103,"['IForest', 'OmniAnomaly', 'PCA']","['OFA', 'OmniAnomaly', 'PCA']"
mitdb_104,"['ALLM4TS', 'OmniAnomaly', 'OFA']","['OFA', 'CNN', 'ALLM4TS']"
mitdb_105,"['IForest', 'OmniAnomaly', 'PCA']","['OFA', 'ALLM4TS', 'CNN']"
mitdb_106,"['IForest', 'OmniAnomaly', 'PCA']","['ALLM4TS', 'PCA', 'OmniAnomaly']"
mitdb_107,"['TimesNet', 'ALLM4TS', 'OFA']","['CNN', 'OFA', 'ALLM4TS']"
mitdb_108,"['IForest', 'OmniAnomaly', 'TimesNet']","['CNN', 'AnomalyTransformer', 'OFA']"
mitdb_109,"['IForest', 'OmniAnomaly', 'USAD']","['CNN', 'IForest', 'ALLM4TS']"
mitdb_111,"['OmniAnomaly', 'PCA', 'IForest']","['ALLM4TS', 'OFA', 'CNN']"
mitdb_112,"['OmniAnomaly', 'IForest', 'PCA']","['OFA', 'KMeansAD', 'LSTMAD']"
mitdb_113,"['OmniAnomaly', 'ALLM4TS', 'PCA']","['OFA', 'CNN', 'ALLM4TS']"
mitdb_114,"['IForest', 'OmniAnomaly', 'PCA']","['OFA', 'ALLM4TS', 'CNN']"
mitdb_115,"['IForest', 'OmniAnomaly', 'USAD']","['OFA', 'OmniAnomaly', 'PCA']"
mitdb_116,"['IForest', 'OmniAnomaly', 'TimesNet']","['OFA', 'ALLM4TS', 'CNN']"
mitdb_117,"['TimesNet', 'IForest', 'OmniAnomaly']","['CNN', 'PCA', 'OmniAnomaly']"
mitdb_118,"['OmniAnomaly', 'PCA', 'IForest']","['CNN', 'AnomalyTransformer', 'LSTMAD']"
mitdb_119,"['OmniAnomaly', 'IForest', 'USAD']","['ALLM4TS', 'CNN', 'OFA']"
mitdb_121,"['IForest', 'TimesNet', 'OmniAnomaly']","['KMeansAD', 'EIF', 'COPOD']"
mitdb_122,"['OmniAnomaly', 'IForest', 'ALLM4TS']","['ALLM4TS', 'OmniAnomaly', 'PCA']"
mitdb_123,"['TimesNet', 'OmniAnomaly', 'IForest']","['ALLM4TS', 'OFA', 'CNN']"
mitdb_124,"['OmniAnomaly', 'IForest', 'TimesNet']","['IForest', 'CNN', 'ALLM4TS']"
mitdb_200,"['OmniAnomaly', 'PCA', 'USAD']","['ALLM4TS', 'CNN', 'PCA']"
mitdb_201,"['USAD', 'OmniAnomaly', 'PCA']","['OFA', 'ALLM4TS', 'CNN']"
mitdb_202,"['IForest', 'OmniAnomaly', 'USAD']","['OFA', 'CNN', 'ALLM4TS']"
mitdb_203,"['OmniAnomaly', 'IForest', 'PCA']","['ALLM4TS', 'CNN', 'OFA']"
mitdb_205,"['IForest', 'TimesNet', 'OmniAnomaly']","['OFA', 'CNN', 'ALLM4TS']"
mitdb_207,"['IForest', 'OmniAnomaly', 'PCA']","['CNN', 'PCA', 'OmniAnomaly']"
mitdb_208,"['OmniAnomaly', 'IForest', 'PCA']","['ALLM4TS', 'RobustPCA', 'TimesNet']"
mitdb_209,"['OmniAnomaly', 'IForest', 'ALLM4TS']","['OFA', 'CNN', 'ALLM4TS']"
mitdb_210,"['OmniAnomaly', 'IForest', 'PCA']","['OFA', 'CNN', 'IForest']"
mitdb_212,"['OmniAnomaly', 'IForest', 'PCA']","['OFA', 'CNN', 'LSTMAD']"
mitdb_213,"['OmniAnomaly', 'IForest', 'PCA']","['OFA', 'ALLM4TS', 'PCA']"
mitdb_214,"['OmniAnomaly', 'USAD', 'IForest']","['CNN', 'OFA', 'ALLM4TS']"
mitdb_215,"['OmniAnomaly', 'ALLM4TS', 'CNN']","['OFA', 'CNN', 'OmniAnomaly']"
mitdb_217,"['ALLM4TS', 'TimesNet', 'OFA']","['CNN', 'ALLM4TS', 'OFA']"
mitdb_219,"['ALLM4TS', 'OFA', 'OmniAnomaly']","['AnomalyTransformer', 'IForest', 'RobustPCA']"
mitdb_220,"['CNN', 'TimesNet', 'IForest']","['CNN', 'OFA', 'IForest']"
mitdb_221,"['OmniAnomaly', 'USAD', 'IForest']","['ALLM4TS', 'OmniAnomaly', 'PCA']"
mitdb_222,"['OmniAnomaly', 'IForest', 'PCA']","['AnomalyTransformer', 'LSTMAD', 'TranAD']"
mitdb_223,"['IForest', 'OmniAnomaly', 'USAD']","['CNN', 'ALLM4TS', 'IForest']"
mitdb_228,"['OmniAnomaly', 'PCA', 'IForest']","['CNN', 'OmniAnomaly', 'PCA']"
mitdb_230,"['TimesNet', 'IForest', 'OFA']","['OFA', 'CNN', 'PCA']"
mitdb_232,"['OmniAnomaly', 'IForest', 'PCA']","['OmniAnomaly', 'PCA', 'TimesNet']"
mitdb_233,"['OmniAnomaly', 'USAD', 'PCA']","['OFA', 'ALLM4TS', 'IForest']"
mitdb_234,"['IForest', 'OmniAnomaly', 'TimesNet']","['OFA', 'CNN', 'TimesNet']"
msl_c-1,"['KMeansAD', 'EIF', 'PCA']","['OFA', 'OmniAnomaly', 'KMeansAD']"
msl_c-2,"['KMeansAD', 'MCD', 'PCA']","['OmniAnomaly', 'PCA', 'KMeansAD']"
msl_d-14,"['KMeansAD', 'MCD', 'HBOS']","['HBOS', 'AutoEncoder', 'OCSVM']"
msl_d-15,"['KMeansAD', 'EIF', 'COPOD']","['ALLM4TS', 'RobustPCA', 'OFA']"
msl_d-16,"['KMeansAD', 'EIF', 'HBOS']","['IForest', 'HBOS', 'COPOD']"
msl_f-4,"['KMeansAD', 'PCA', 'OmniAnomaly']","['OmniAnomaly', 'OFA', 'PCA']"
msl_f-5,"['MCD', 'KMeansAD', 'PCA']","['ALLM4TS', 'RobustPCA', 'OmniAnomaly']"
msl_f-7,"['KMeansAD', 'MCD', 'EIF']","['IForest', 'KMeansAD', 'MCD']"
msl_f-8,"['KMeansAD', 'MCD', 'HBOS']","['IForest', 'Donut', 'AutoEncoder']"
msl_m-1,"['KMeansAD', 'MCD', 'OmniAnomaly']","['KMeansAD', 'Donut', 'OFA']"
msl_m-2,"['KMeansAD', 'MCD', 'EIF']","['ALLM4TS', 'OCSVM', 'Donut']"
msl_m-3,"['KMeansAD', 'EIF', 'HBOS']","['IForest', 'ALLM4TS', 'COPOD']"
msl_m-4,"['KMeansAD', 'EIF', 'PCA']","['IForest', 'OCSVM', 'MCD']"
msl_m-5,"['KMeansAD', 'PCA', 'MCD']","['KMeansAD', 'OmniAnomaly', 'PCA']"
msl_m-6,"['KMeansAD', 'EIF', 'HBOS']","['ALLM4TS', 'RobustPCA', 'PCA']"
msl_m-7,"['KMeansAD', 'MCD', 'COPOD']","['IForest', 'COPOD', 'HBOS']"
msl_p-10,"['KMeansAD', 'MCD', 'EIF']","['OmniAnomaly', 'PCA', 'OFA']"
msl_p-11,"['MCD', 'KMeansAD', 'OmniAnomaly']","['IForest', 'KMeansAD', 'Donut']"
msl_p-14,"['KMeansAD', 'MCD', 'EIF']","['OmniAnomaly', 'PCA', 'IForest']"
msl_p-15,"['MCD', 'KMeansAD', 'PCA']","['IForest', 'RobustPCA', 'Donut']"
msl_s-2,"['KMeansAD', 'MCD', 'HBOS']","['KMeansAD', 'IForest', 'OFA']"
msl_t-12,"['PCA', 'OmniAnomaly', 'MCD']","['OFA', 'PCA', 'OmniAnomaly']"
msl_t-13,"['MCD', 'PCA', 'OmniAnomaly']","['RobustPCA', 'PCA', 'Donut']"
msl_t-4,"['KMeansAD', 'MCD', 'EIF']","['OCSVM', 'AutoEncoder', 'MCD']"
msl_t-5,"['KMeansAD', 'MCD', 'EIF']","['KMeansAD', 'OmniAnomaly', 'PCA']"
msl_t-8,"['KMeansAD', 'MCD', 'EIF']","['KMeansAD', 'IForest', 'ALLM4TS']"
opportunity_s1-adl2,"['MCD', 'AutoEncoder', 'OmniAnomaly']","['CBLOF', 'MCD', 'IForest']"
opportunity_s1-adl3,"['MCD', 'AutoEncoder', 'ALLM4TS']","['MCD', 'CBLOF', 'OCSVM']"
opportunity_s1-adl4,"['MCD', 'AutoEncoder', 'OmniAnomaly']","['MCD', 'OCSVM', 'IForest']"
opportunity_s1-adl5,"['MCD', 'ALLM4TS', 'AutoEncoder']","['MCD', 'CBLOF', 'OCSVM']"
opportunity_s2-adl1,"['MCD', 'AutoEncoder', 'OmniAnomaly']","['CBLOF', 'IForest', 'MCD']"
opportunity_s2-adl2,"['MCD', 'AutoEncoder', 'OmniAnomaly']","['IForest', 'MCD', 'KMeansAD']"
opportunity_s3-adl3,"['MCD', 'AutoEncoder', 'OmniAnomaly']","['IForest', 'MCD', 'CBLOF']"
opportunity_s3-adl4,"['MCD', 'AutoEncoder', 'ALLM4TS']","['IForest', 'MCD', 'COPOD']"
opportunity_s3-adl5,"['MCD', 'AutoEncoder', 'OmniAnomaly']","['MCD', 'IForest', 'KMeansAD']"
opportunity_s4-adl2,"['MCD', 'AutoEncoder', 'OmniAnomaly']","['MCD', 'CBLOF', 'AutoEncoder']"
opportunity_s4-adl3,"['MCD', 'AutoEncoder', 'OmniAnomaly']","['MCD', 'KMeansAD', 'AutoEncoder']"
opportunity_s4-adl4,"['MCD', 'AutoEncoder', 'OmniAnomaly']","['MCD', 'KMeansAD', 'IForest']"
opportunity_s4-adl5,"['MCD', 'AutoEncoder', 'ALLM4TS']","['MCD', 'KMeansAD', 'AnomalyTransformer']"
psm,"['ALLM4TS', 'CNN', 'PCA']","['CNN', 'LSTMAD', 'Donut']"
smap_a-1,"['KMeansAD', 'HBOS', 'COPOD']","['PCA', 'OmniAnomaly', 'OFA']"
smap_a-2,"['KMeansAD', 'EIF', 'HBOS']","['IForest', 'EIF', 'OCSVM']"
smap_a-3,"['KMeansAD', 'EIF', 'HBOS']","['IForest', 'AutoEncoder', 'Donut']"
smap_a-4,"['KMeansAD', 'EIF', 'HBOS']","['AutoEncoder', 'Donut', 'EIF']"
smap_a-5,"['OmniAnomaly', 'MCD', 'PCA']","['KMeansAD', 'IForest', 'OmniAnomaly']"
smap_a-6,"['MCD', 'OmniAnomaly', 'PCA']","['KMeansAD', 'TranAD', 'USAD']"
smap_a-8,"['KMeansAD', 'MCD', 'OmniAnomaly']","['RobustPCA', 'ALLM4TS', 'USAD']"
smap_a-9,"['KMeansAD', 'OmniAnomaly', 'MCD']","['RobustPCA', 'ALLM4TS', 'TranAD']"
smap_b-1,"['KMeansAD', 'MCD', 'PCA']","['IForest', 'LSTMAD', 'TimesNet']"
smap_d-11,"['KMeansAD', 'MCD', 'OmniAnomaly']","['IForest', 'Donut', 'FITS']"
smap_d-1,"['KMeansAD', 'EIF', 'HBOS']","['MCD', 'OCSVM', 'AutoEncoder']"
smap_d-2,"['KMeansAD', 'HBOS', 'EIF']","['AutoEncoder', 'OCSVM', 'MCD']"
smap_d-3,"['KMeansAD', 'EIF', 'HBOS']","['MCD', 'OCSVM', 'AutoEncoder']"
smap_d-4,"['KMeansAD', 'EIF', 'HBOS']","['MCD', 'AutoEncoder', 'OCSVM']"
smap_d-5,"['KMeansAD', 'HBOS', 'EIF']","['OmniAnomaly', 'PCA', 'KMeansAD']"
smap_d-6,"['KMeansAD', 'HBOS', 'EIF']","['PCA', 'IForest', 'OmniAnomaly']"
smap_d-7,"['KMeansAD', 'EIF', 'HBOS']","['MCD', 'AutoEncoder', 'OCSVM']"
smap_d-8,"['PCA', 'KMeansAD', 'MCD']","['IForest', 'PCA', 'OmniAnomaly']"
smap_d-9,"['KMeansAD', 'HBOS', 'EIF']","['AutoEncoder', 'MCD', 'OCSVM']"
smap_e-10,"['KMeansAD', 'HBOS', 'EIF']","['IForest', 'MCD', 'LOF']"
smap_e-11,"['KMeansAD', 'HBOS', 'EIF']","['IForest', 'AutoEncoder', 'MCD']"
smap_e-12,"['KMeansAD', 'HBOS', 'EIF']","['LOF', 'OCSVM', 'IForest']"
smap_e-13,"['KMeansAD', 'EIF', 'HBOS']","['ALLM4TS', 'KMeansAD', 'IForest']"
smap_e-1,"['KMeansAD', 'HBOS', 'EIF']","['IForest', 'MCD', 'CBLOF']"
smap_e-2,"['KMeansAD', 'EIF', 'HBOS']","['RobustPCA', 'IForest', 'TranAD']"
smap_e-3,"['KMeansAD', 'EIF', 'HBOS']","['OCSVM', 'MCD', 'IForest']"
smap_e-4,"['KMeansAD', 'EIF', 'HBOS']","['IForest', 'Donut', 'LSTMAD']"
smap_e-5,"['KMeansAD', 'HBOS', 'EIF']","['PCA', 'OmniAnomaly', 'IForest']"
smap_e-6,"['KMeansAD', 'HBOS', 'EIF']","['PCA', 'OmniAnomaly', 'KMeansAD']"
smap_e-7,"['KMeansAD', 'HBOS', 'EIF']","['OmniAnomaly', 'PCA', 'IForest']"
smap_e-8,"['KMeansAD', 'EIF', 'HBOS']","['IForest', 'PCA', 'OmniAnomaly']"
smap_e-9,"['KMeansAD', 'EIF', 'HBOS']","['OmniAnomaly', 'PCA', 'OFA']"
smap_f-1,"['KMeansAD', 'OmniAnomaly', 'MCD']","['ALLM4TS', 'RobustPCA', 'LOF']"
smap_f-2,"['KMeansAD', 'PCA', 'OmniAnomaly']","['RobustPCA', 'ALLM4TS', 'TranAD']"
smap_f-3,"['KMeansAD', 'EIF', 'HBOS']","['OmniAnomaly', 'PCA', 'KMeansAD']"
smap_g-1,"['KMeansAD', 'EIF', 'HBOS']","['EIF', 'MCD', 'OCSVM']"
smap_g-2,"['KMeansAD', 'HBOS', 'COPOD']","['PCA', 'OmniAnomaly', 'KMeansAD']"
smap_g-3,"['KMeansAD', 'HBOS', 'COPOD']","['PCA', 'OmniAnomaly', 'OFA']"
smap_g-6,"['KMeansAD', 'OmniAnomaly', 'PCA']","['RobustPCA', 'IForest', 'TranAD']"
smap_g-7,"['MCD', 'OmniAnomaly', 'PCA']","['OmniAnomaly', 'PCA', 'IForest']"
smap_p-1,"['KMeansAD', 'HBOS', 'EIF']","['IForest', 'COPOD', 'MCD']"
smap_p-2,"['KMeansAD', 'HBOS', 'EIF']","['KMeansAD', 'MCD', 'OCSVM']"
smap_p-3,"['KMeansAD', 'HBOS', 'EIF']","['KMeansAD', 'IForest', 'CBLOF']"
smap_p-4,"['KMeansAD', 'MCD', 'PCA']","['IForest', 'OFA', 'OmniAnomaly']"
smap_s-1,"['KMeansAD', 'HBOS', 'EIF']","['IForest', 'ALLM4TS', 'RobustPCA']"
smap_t-1,"['KMeansAD', 'OmniAnomaly', 'EIF']","['ALLM4TS', 'RobustPCA', 'Donut']"
smap_t-2,"['KMeansAD', 'OmniAnomaly', 'EIF']","['OFA', 'RobustPCA', 'PCA']"
smap_t-3,"['MCD', 'KMeansAD', 'OmniAnomaly']","['OFA', 'IForest', 'PCA']"
smd_machine-1-2,"['KMeansAD', 'OmniAnomaly', 'PCA']","['OCSVM', 'CBLOF', 'OmniAnomaly']"
