Data,ALLM4TS,AnomalyTransformer,AutoEncoder,CBLOF,CNN,COPOD,Donut,EIF,FITS,HBOS,IForest,KMeansAD,KNN,LOF,LSTMAD,MCD,OCSVM,OFA,OmniAnomaly,PCA,RobustPCA,TimesNet,TranAD,USAD
GECCO_water_quality,14.0,1.0,8.0,13.0,22.0,10.0,5.0,17.0,7.0,16.0,4.0,24.0,9.0,3.0,19.0,23.0,6.0,12.0,21.0,20.0,2.0,11.0,15.0,18.0
GHL_17_Lev_fault_Temp_corr_seed_57_vars_23,22.0,3.0,1.0,8.0,13.0,19.0,16.0,21.0,6.0,23.0,2.0,24.0,20.0,17.0,9.0,15.0,18.0,14.0,12.0,11.0,7.0,10.0,4.0,5.0
GHL_18_Lev_fault_Temp_corr_seed_59_vars_23,23.0,3.0,1.0,8.0,13.0,20.0,14.0,19.0,9.0,22.0,2.0,24.0,21.0,16.0,7.0,15.0,18.0,17.0,12.0,10.0,6.0,11.0,4.0,5.0
GHL_19_Lev_fault_Temp_corr_seed_62_vars_23,19.0,3.0,1.0,9.0,14.0,20.0,15.0,21.0,10.0,23.0,2.0,24.0,22.0,18.0,11.0,13.0,17.0,16.0,7.0,8.0,6.0,12.0,5.0,4.0
GHL_20_Lev_fault_Temp_corr_seed_67_vars_23,19.0,3.0,1.0,9.0,13.0,20.0,18.0,21.0,8.0,23.0,2.0,24.0,22.0,15.0,7.0,14.0,17.0,16.0,12.0,10.0,5.0,11.0,4.0,6.0
GHL_21_Lev_fault_Temp_corr_seed_73_vars_23,23.0,3.0,1.0,8.0,13.0,19.0,18.0,20.0,9.0,22.0,2.0,24.0,21.0,15.0,7.0,14.0,16.0,17.0,11.0,10.0,6.0,12.0,4.0,5.0
GHL_22_Lev_fault_Temp_corr_seed_777_vars_23,19.0,2.0,1.0,10.0,13.0,21.0,15.0,20.0,11.0,23.0,4.0,24.0,22.0,17.0,7.0,14.0,16.0,18.0,9.0,8.0,6.0,12.0,5.0,3.0
GHL_24_Lev_fault_Temp_corr_seed_83_vars_23,19.0,5.0,1.0,9.0,13.0,21.0,16.0,20.0,11.0,23.0,3.0,24.0,22.0,15.0,7.0,14.0,18.0,17.0,10.0,8.0,6.0,12.0,4.0,2.0
GHL_41_Lev_corr_Temp_fault_seed_181_vars_23,19.0,3.0,1.0,9.0,13.0,20.0,15.0,22.0,10.0,23.0,2.0,24.0,21.0,17.0,7.0,14.0,18.0,16.0,12.0,8.0,6.0,11.0,4.0,5.0
GHL_43_Lev_corr_Temp_fault_seed_189_vars_23,22.0,2.0,1.0,8.0,12.0,19.0,15.0,20.0,9.0,23.0,3.0,24.0,21.0,17.0,6.0,14.0,18.0,16.0,13.0,11.0,7.0,10.0,5.0,4.0
GHL_44_Lev_corr_Temp_fault_seed_190_vars_23,19.0,3.0,1.0,7.0,14.0,21.0,13.0,22.0,8.0,23.0,2.0,24.0,20.0,18.0,9.0,16.0,17.0,15.0,12.0,10.0,6.0,11.0,4.0,5.0
GHL_45_Lev_corr_Temp_fault_seed_193_vars_23,22.0,3.0,1.0,8.0,16.0,19.0,15.0,20.0,7.0,23.0,2.0,24.0,21.0,18.0,9.0,13.0,17.0,14.0,12.0,11.0,4.0,10.0,5.0,6.0
GHL_46_Lev_corr_Temp_fault_seed_194_vars_23,19.0,3.0,1.0,9.0,12.0,20.0,14.0,21.0,10.0,23.0,5.0,24.0,22.0,17.0,7.0,15.0,18.0,16.0,11.0,8.0,6.0,13.0,4.0,2.0
GHL_47_Lev_corr_Temp_fault_seed_197_vars_23,19.0,2.0,1.0,8.0,13.0,21.0,14.0,20.0,10.0,23.0,4.0,24.0,22.0,18.0,7.0,15.0,17.0,16.0,11.0,9.0,6.0,12.0,5.0,3.0
GHL_48_Lev_corr_Temp_fault_seed_199_vars_23,22.0,3.0,1.0,8.0,13.0,19.0,15.0,21.0,9.0,23.0,2.0,24.0,20.0,17.0,7.0,14.0,18.0,16.0,12.0,11.0,6.0,10.0,4.0,5.0
Genesis,17.0,2.0,1.0,13.0,10.0,22.0,11.0,21.0,12.0,23.0,3.0,24.0,20.0,18.0,6.0,16.0,19.0,8.0,15.0,14.0,9.0,5.0,7.0,4.0
GutenTAG_0,24.0,1.0,8.0,5.0,17.0,2.0,20.0,4.0,9.0,13.0,3.0,23.0,16.0,10.0,11.0,21.0,12.0,22.0,18.0,19.0,6.0,15.0,7.0,14.0
GutenTAG_10,24.0,1.0,12.0,6.0,18.0,2.0,20.0,4.0,8.0,10.0,3.0,23.0,13.0,7.0,15.0,21.0,11.0,22.0,17.0,19.0,5.0,14.0,9.0,16.0
GutenTAG_11,24.0,1.0,10.0,6.0,17.0,2.0,20.0,4.0,9.0,8.0,3.0,23.0,13.0,7.0,15.0,21.0,11.0,22.0,18.0,19.0,5.0,14.0,12.0,16.0
GutenTAG_12,24.0,2.0,6.0,5.0,19.0,3.0,20.0,4.0,9.0,8.0,1.0,23.0,13.0,10.0,16.0,21.0,11.0,22.0,17.0,18.0,7.0,14.0,12.0,15.0
GutenTAG_13,24.0,1.0,9.0,11.0,17.0,3.0,21.0,7.0,10.0,5.0,2.0,23.0,14.0,8.0,13.0,20.0,6.0,22.0,19.0,18.0,4.0,12.0,16.0,15.0
GutenTAG_14,24.0,1.0,6.0,8.0,19.0,3.0,20.0,5.0,7.0,10.0,2.0,23.0,13.0,9.0,16.0,22.0,14.0,21.0,17.0,18.0,4.0,12.0,11.0,15.0
GutenTAG_15,24.0,2.0,4.0,5.0,19.0,3.0,20.0,8.0,7.0,11.0,1.0,23.0,13.0,9.0,16.0,22.0,10.0,21.0,17.0,18.0,6.0,14.0,12.0,15.0
GutenTAG_16,24.0,1.0,8.0,5.0,17.0,2.0,20.0,4.0,7.0,10.0,3.0,23.0,12.0,11.0,15.0,21.0,13.0,22.0,18.0,19.0,6.0,14.0,9.0,16.0
GutenTAG_17,24.0,1.0,8.0,4.0,19.0,3.0,20.0,7.0,5.0,13.0,2.0,23.0,15.0,12.0,14.0,22.0,10.0,21.0,17.0,18.0,6.0,11.0,9.0,16.0
GutenTAG_18,24.0,1.0,13.0,7.0,17.0,2.0,19.0,5.0,8.0,11.0,3.0,23.0,12.0,6.0,15.0,22.0,9.0,21.0,18.0,20.0,4.0,10.0,14.0,16.0
GutenTAG_19,23.0,2.0,5.0,6.0,19.0,3.0,20.0,8.0,7.0,11.0,1.0,24.0,14.0,10.0,16.0,22.0,9.0,21.0,17.0,18.0,4.0,13.0,12.0,15.0
GutenTAG_1,24.0,1.0,13.0,6.0,18.0,2.0,17.0,4.0,7.0,10.0,3.0,23.0,8.0,9.0,15.0,22.0,11.0,21.0,19.0,20.0,5.0,12.0,14.0,16.0
GutenTAG_20,24.0,2.0,8.0,7.0,17.0,3.0,21.0,10.0,5.0,14.0,1.0,23.0,12.0,11.0,13.0,22.0,15.0,20.0,19.0,18.0,4.0,6.0,9.0,16.0
GutenTAG_21,24.0,2.0,6.0,5.0,17.0,3.0,20.0,8.0,7.0,9.0,1.0,23.0,11.0,13.0,16.0,22.0,12.0,21.0,19.0,18.0,4.0,14.0,10.0,15.0
GutenTAG_22,24.0,2.0,4.0,5.0,19.0,3.0,21.0,7.0,8.0,11.0,1.0,23.0,16.0,10.0,15.0,20.0,12.0,22.0,18.0,17.0,9.0,14.0,6.0,13.0
GutenTAG_23,24.0,1.0,10.0,7.0,20.0,2.0,17.0,8.0,5.0,14.0,3.0,23.0,12.0,9.0,15.0,22.0,6.0,21.0,18.0,19.0,4.0,11.0,13.0,16.0
GutenTAG_24,24.0,1.0,4.0,8.0,17.0,3.0,19.0,7.0,10.0,11.0,2.0,23.0,14.0,6.0,16.0,21.0,9.0,22.0,18.0,20.0,5.0,12.0,13.0,15.0
GutenTAG_25,24.0,2.0,6.0,7.0,19.0,3.0,20.0,5.0,8.0,10.0,1.0,23.0,14.0,11.0,16.0,22.0,13.0,21.0,18.0,17.0,4.0,12.0,9.0,15.0
GutenTAG_26,23.0,1.0,4.0,6.0,19.0,5.0,17.0,12.0,7.0,13.0,2.0,24.0,15.0,11.0,16.0,22.0,8.0,21.0,20.0,18.0,3.0,9.0,10.0,14.0
GutenTAG_27,24.0,1.0,8.0,6.0,18.0,3.0,17.0,9.0,5.0,15.0,2.0,23.0,13.0,11.0,14.0,22.0,12.0,19.0,20.0,21.0,4.0,7.0,10.0,16.0
GutenTAG_28,24.0,2.0,5.0,7.0,17.0,3.0,19.0,9.0,8.0,12.0,1.0,23.0,13.0,11.0,15.0,22.0,10.0,21.0,18.0,20.0,4.0,6.0,14.0,16.0
GutenTAG_29,24.0,1.0,7.0,6.0,17.0,3.0,18.0,8.0,5.0,14.0,2.0,23.0,15.0,10.0,12.0,22.0,13.0,21.0,19.0,20.0,4.0,11.0,9.0,16.0
GutenTAG_2,24.0,1.0,13.0,7.0,17.0,2.0,18.0,4.0,11.0,6.0,3.0,21.0,10.0,5.0,15.0,22.0,8.0,23.0,19.0,20.0,9.0,12.0,14.0,16.0
GutenTAG_3,24.0,2.0,14.0,6.0,19.0,1.0,20.0,4.0,7.0,8.0,3.0,21.0,11.0,9.0,15.0,23.0,10.0,22.0,17.0,18.0,5.0,13.0,12.0,16.0
GutenTAG_4,24.0,1.0,11.0,5.0,19.0,2.0,20.0,4.0,7.0,12.0,3.0,23.0,13.0,9.0,15.0,21.0,8.0,22.0,18.0,17.0,6.0,14.0,10.0,16.0
GutenTAG_5,24.0,2.0,9.0,6.0,18.0,1.0,20.0,4.0,7.0,8.0,3.0,23.0,13.0,11.0,16.0,21.0,10.0,22.0,17.0,19.0,5.0,14.0,12.0,15.0
GutenTAG_6,24.0,1.0,4.0,6.0,19.0,2.0,20.0,5.0,9.0,11.0,3.0,23.0,13.0,10.0,16.0,21.0,8.0,22.0,17.0,18.0,7.0,14.0,12.0,15.0
GutenTAG_7,24.0,1.0,12.0,6.0,17.0,2.0,20.0,4.0,10.0,9.0,3.0,23.0,11.0,8.0,15.0,22.0,7.0,21.0,18.0,19.0,5.0,13.0,14.0,16.0
GutenTAG_8,24.0,1.0,6.0,7.0,19.0,3.0,20.0,5.0,8.0,12.0,2.0,23.0,14.0,9.0,16.0,22.0,10.0,21.0,18.0,17.0,4.0,13.0,11.0,15.0
GutenTAG_9,24.0,3.0,4.0,9.0,19.0,2.0,20.0,6.0,7.0,12.0,1.0,23.0,13.0,8.0,16.0,21.0,10.0,22.0,17.0,18.0,5.0,14.0,11.0,15.0
MITDB_100,15.0,5.0,11.0,7.0,16.0,1.0,2.0,8.0,13.0,9.0,21.0,17.0,3.0,4.0,20.0,12.0,10.0,24.0,23.0,22.0,6.0,19.0,14.0,18.0
MITDB_101,21.0,2.0,1.0,12.0,22.0,5.0,6.0,17.0,11.0,13.0,16.0,20.0,8.0,3.0,15.0,10.0,7.0,19.0,23.0,24.0,4.0,9.0,14.0,18.0
MITDB_102,20.0,2.0,1.0,8.0,19.0,14.0,11.0,17.0,9.0,16.0,7.0,21.0,10.0,5.0,12.0,4.0,6.0,22.0,23.0,24.0,3.0,13.0,15.0,18.0
MITDB_103,20.0,2.0,1.0,5.0,17.0,10.0,4.0,11.0,14.0,13.0,21.0,18.0,9.0,6.0,16.0,8.0,7.0,22.0,23.0,24.0,3.0,15.0,12.0,19.0
MITDB_104,23.0,2.0,1.0,8.0,20.0,5.0,10.0,13.0,17.0,12.0,15.0,18.0,9.0,3.0,11.0,4.0,6.0,22.0,21.0,24.0,7.0,16.0,14.0,19.0
MITDB_105,9.0,3.0,5.0,6.0,16.0,11.0,1.0,13.0,8.0,12.0,19.0,22.0,4.0,7.0,18.0,17.0,10.0,20.0,24.0,23.0,2.0,15.0,14.0,21.0
MITDB_106,21.0,1.0,2.0,6.0,17.0,7.0,8.0,12.0,13.0,11.0,20.0,18.0,10.0,4.0,16.0,9.0,5.0,22.0,23.0,24.0,3.0,15.0,14.0,19.0
MITDB_107,23.0,2.0,1.0,9.0,21.0,7.0,8.0,12.0,14.0,13.0,16.0,18.0,10.0,4.0,15.0,6.0,3.0,24.0,20.0,22.0,5.0,19.0,11.0,17.0
MITDB_108,19.0,2.0,7.0,8.0,20.0,5.0,4.0,11.0,12.0,10.0,21.0,18.0,6.0,1.0,16.0,15.0,9.0,22.0,23.0,24.0,3.0,14.0,13.0,17.0
MITDB_109,20.0,1.0,4.0,10.0,17.0,6.0,2.0,13.0,11.0,14.0,18.0,21.0,8.0,5.0,15.0,12.0,9.0,19.0,24.0,23.0,3.0,7.0,16.0,22.0
MITDB_111,18.0,2.0,1.0,8.0,19.0,13.0,4.0,16.0,7.0,14.0,11.0,22.0,5.0,6.0,15.0,10.0,9.0,20.0,23.0,24.0,3.0,12.0,17.0,21.0
MITDB_112,22.0,2.0,1.0,9.0,18.0,7.0,6.0,16.0,12.0,14.0,17.0,21.0,10.0,4.0,13.0,8.0,5.0,20.0,23.0,24.0,3.0,11.0,15.0,19.0
MITDB_113,22.0,2.0,1.0,13.0,21.0,5.0,7.0,16.0,11.0,14.0,17.0,20.0,9.0,3.0,12.0,8.0,6.0,19.0,23.0,24.0,4.0,10.0,15.0,18.0
MITDB_114,19.0,1.0,3.0,8.0,21.0,4.0,6.0,12.0,13.0,11.0,17.0,18.0,7.0,2.0,16.0,10.0,9.0,22.0,23.0,24.0,5.0,15.0,14.0,20.0
MITDB_115,6.0,3.0,8.0,9.0,16.0,12.0,1.0,14.0,5.0,13.0,20.0,22.0,4.0,7.0,18.0,15.0,11.0,19.0,24.0,23.0,2.0,10.0,17.0,21.0
MITDB_116,19.0,1.0,2.0,9.0,21.0,6.0,5.0,15.0,13.0,11.0,20.0,18.0,8.0,3.0,17.0,12.0,7.0,22.0,23.0,24.0,4.0,14.0,10.0,16.0
MITDB_117,13.0,1.0,6.0,9.0,16.0,7.0,2.0,12.0,10.0,11.0,20.0,21.0,5.0,4.0,17.0,14.0,8.0,22.0,23.0,24.0,3.0,18.0,15.0,19.0
MITDB_118,18.0,1.0,2.0,11.0,20.0,8.0,5.0,16.0,9.0,14.0,15.0,22.0,6.0,3.0,13.0,10.0,7.0,19.0,23.0,24.0,4.0,12.0,17.0,21.0
MITDB_119,18.0,1.0,6.0,9.0,15.0,8.0,2.0,16.0,10.0,17.0,19.0,21.0,7.0,5.0,13.0,14.0,11.0,12.0,24.0,23.0,4.0,3.0,20.0,22.0
MITDB_121,14.0,1.0,7.0,8.0,19.0,5.0,4.0,11.0,12.0,6.0,17.0,21.0,3.0,9.0,18.0,16.0,13.0,24.0,23.0,22.0,2.0,15.0,10.0,20.0
MITDB_122,22.0,2.0,1.0,10.0,19.0,6.0,8.0,13.0,12.0,11.0,17.0,20.0,9.0,3.0,15.0,7.0,5.0,21.0,23.0,24.0,4.0,16.0,14.0,18.0
MITDB_123,15.0,1.0,4.0,9.0,18.0,7.0,2.0,13.0,10.0,12.0,17.0,21.0,6.0,5.0,16.0,11.0,8.0,22.0,23.0,24.0,3.0,19.0,14.0,20.0
MITDB_124,19.0,1.0,2.0,7.0,17.0,8.0,5.0,13.0,12.0,11.0,18.0,20.0,6.0,4.0,15.0,10.0,9.0,22.0,23.0,24.0,3.0,14.0,16.0,21.0
MITDB_200,8.0,2.0,5.0,9.0,18.0,12.0,1.0,15.0,7.0,13.0,19.0,22.0,4.0,6.0,17.0,14.0,11.0,16.0,24.0,23.0,3.0,10.0,20.0,21.0
MITDB_201,10.0,1.0,3.0,12.0,19.0,17.0,6.0,15.0,7.0,16.0,13.0,22.0,4.0,8.0,18.0,9.0,11.0,14.0,23.0,24.0,2.0,5.0,20.0,21.0
MITDB_202,14.0,1.0,15.0,8.0,19.0,5.0,2.0,9.0,10.0,11.0,20.0,21.0,6.0,7.0,18.0,12.0,13.0,17.0,24.0,23.0,3.0,4.0,16.0,22.0
MITDB_203,18.0,1.0,3.0,6.0,19.0,13.0,5.0,16.0,8.0,14.0,9.0,22.0,4.0,7.0,15.0,10.0,12.0,20.0,23.0,24.0,2.0,11.0,17.0,21.0
MITDB_205,14.0,3.0,8.0,5.0,16.0,7.0,1.0,12.0,9.0,10.0,18.0,22.0,4.0,6.0,19.0,17.0,11.0,21.0,24.0,23.0,2.0,15.0,13.0,20.0
MITDB_207,13.0,2.0,4.0,8.0,18.0,9.0,1.0,12.0,10.0,11.0,20.0,22.0,6.0,5.0,17.0,15.0,7.0,21.0,23.0,24.0,3.0,16.0,14.0,19.0
MITDB_208,15.0,1.0,5.0,8.0,19.0,9.0,3.0,14.0,7.0,12.0,11.0,22.0,4.0,6.0,18.0,16.0,13.0,20.0,23.0,24.0,2.0,10.0,17.0,21.0
