dataset,top3_prediction,top3_ground_truth
gutentag_4,"['MCD', 'OmniAnomaly', 'PCA']","['OFA', 'KMeansAD', 'OmniAnomaly']"
gutentag_5,"['OFA', 'MCD', 'OmniAnomaly']","['MCD', 'AutoEncoder', 'TranAD']"
gutentag_6,"['MCD', 'OmniAnomaly', 'PCA']","['OmniAnomaly', 'PCA', 'TranAD']"
gutentag_7,"['MCD', 'OmniAnomaly', 'PCA']","['ALLM4TS', 'LSTMAD', 'TranAD']"
gutentag_8,"['MCD', 'OmniAnomaly', 'PCA']","['KMeansAD', 'KNN', 'CBLOF']"
gutentag_9,"['MCD', 'OmniAnomaly', 'PCA']","['IForest', 'KNN', 'USAD']"
metro_traffic-volume,"['MCD', 'AutoEncoder', 'ALLM4TS']","['TranAD', 'USAD', 'Donut']"
mitdb_100,"['OmniAnomaly', 'PCA', 'KMeansAD']","['AnomalyTransformer', 'CNN', 'IForest']"
mitdb_101,"['OmniAnomaly', 'PCA', 'MCD']","['USAD', 'TranAD', 'CNN']"
mitdb_102,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'IForest', 'CNN']"
mitdb_103,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OFA', 'OmniAnomaly', 'PCA']"
mitdb_104,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OFA', 'CNN', 'ALLM4TS']"
mitdb_105,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'ALLM4TS', 'CNN']"
mitdb_106,"['OmniAnomaly', 'PCA', 'MCD']","['ALLM4TS', 'PCA', 'OmniAnomaly']"
mitdb_107,"['OmniAnomaly', 'PCA', 'MCD']","['CNN', 'OFA', 'ALLM4TS']"
mitdb_108,"['OmniAnomaly', 'PCA', 'MCD']","['CNN', 'AnomalyTransformer', 'OFA']"
mitdb_109,"['OmniAnomaly', 'PCA', 'MCD']","['CNN', 'IForest', 'ALLM4TS']"
mitdb_111,"['OmniAnomaly', 'PCA', 'MCD']","['ALLM4TS', 'OFA', 'CNN']"
mitdb_112,"['PCA', 'MCD', 'ALLM4TS']","['OFA', 'KMeansAD', 'LSTMAD']"
mitdb_113,"['OFA', 'KMeansAD', 'ALLM4TS']","['OFA', 'CNN', 'ALLM4TS']"
mitdb_114,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'ALLM4TS', 'CNN']"
mitdb_115,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'OmniAnomaly', 'PCA']"
mitdb_116,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'ALLM4TS', 'CNN']"
mitdb_117,"['OmniAnomaly', 'PCA', 'MCD']","['CNN', 'PCA', 'OmniAnomaly']"
mitdb_118,"['OmniAnomaly', 'PCA', 'KMeansAD']","['CNN', 'AnomalyTransformer', 'LSTMAD']"
mitdb_119,"['OmniAnomaly', 'PCA', 'KMeansAD']","['ALLM4TS', 'CNN', 'OFA']"
mitdb_121,"['OmniAnomaly', 'PCA', 'KMeansAD']","['KMeansAD', 'EIF', 'COPOD']"
mitdb_122,"['OmniAnomaly', 'PCA', 'MCD']","['ALLM4TS', 'OmniAnomaly', 'PCA']"
mitdb_123,"['OmniAnomaly', 'PCA', 'KMeansAD']","['ALLM4TS', 'OFA', 'CNN']"
mitdb_124,"['OmniAnomaly', 'PCA', 'MCD']","['IForest', 'CNN', 'ALLM4TS']"
mitdb_200,"['OmniAnomaly', 'PCA', 'MCD']","['ALLM4TS', 'CNN', 'PCA']"
mitdb_201,"['OmniAnomaly', 'KMeansAD', 'ALLM4TS']","['OFA', 'ALLM4TS', 'CNN']"
mitdb_202,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'CNN', 'ALLM4TS']"
mitdb_203,"['OmniAnomaly', 'PCA', 'MCD']","['ALLM4TS', 'CNN', 'OFA']"
mitdb_205,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OFA', 'CNN', 'ALLM4TS']"
mitdb_207,"['OmniAnomaly', 'PCA', 'MCD']","['CNN', 'PCA', 'OmniAnomaly']"
mitdb_208,"['OmniAnomaly', 'KMeansAD', 'ALLM4TS']","['ALLM4TS', 'RobustPCA', 'TimesNet']"
mitdb_209,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OFA', 'CNN', 'ALLM4TS']"
mitdb_210,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OFA', 'CNN', 'IForest']"
mitdb_212,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'CNN', 'LSTMAD']"
mitdb_213,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'ALLM4TS', 'PCA']"
mitdb_214,"['OmniAnomaly', 'PCA', 'MCD']","['CNN', 'OFA', 'ALLM4TS']"
mitdb_215,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'CNN', 'OmniAnomaly']"
mitdb_217,"['OmniAnomaly', 'PCA', 'KMeansAD']","['CNN', 'ALLM4TS', 'OFA']"
mitdb_219,"['OmniAnomaly', 'PCA', 'MCD']","['AnomalyTransformer', 'IForest', 'RobustPCA']"
mitdb_220,"['OFA', 'MCD', 'ALLM4TS']","['CNN', 'OFA', 'IForest']"
mitdb_221,"['OmniAnomaly', 'PCA', 'MCD']","['ALLM4TS', 'OmniAnomaly', 'PCA']"
mitdb_222,"['OmniAnomaly', 'PCA', 'KMeansAD']","['AnomalyTransformer', 'LSTMAD', 'TranAD']"
mitdb_223,"['OmniAnomaly', 'PCA', 'MCD']","['CNN', 'ALLM4TS', 'IForest']"
mitdb_228,"['OmniAnomaly', 'PCA', 'MCD']","['CNN', 'OmniAnomaly', 'PCA']"
mitdb_230,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OFA', 'CNN', 'PCA']"
mitdb_232,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OmniAnomaly', 'PCA', 'TimesNet']"
mitdb_233,"['OmniAnomaly', 'PCA', 'KMeansAD']","['OFA', 'ALLM4TS', 'IForest']"
mitdb_234,"['OmniAnomaly', 'PCA', 'MCD']","['OFA', 'CNN', 'TimesNet']"
msl_c-1,"['PCA', 'OmniAnomaly', 'KMeansAD']","['OFA', 'OmniAnomaly', 'KMeansAD']"
msl_c-2,"['PCA', 'OmniAnomaly', 'KMeansAD']","['OmniAnomaly', 'PCA', 'KMeansAD']"
msl_d-14,"['KMeansAD', 'PCA', 'OmniAnomaly']","['HBOS', 'AutoEncoder', 'OCSVM']"
msl_d-15,"['IForest', 'KMeansAD', 'ALLM4TS']","['ALLM4TS', 'RobustPCA', 'OFA']"
msl_d-16,"['IForest', 'KMeansAD', 'ALLM4TS']","['IForest', 'HBOS', 'COPOD']"
msl_f-4,"['IForest', 'KMeansAD', 'LOF']","['OmniAnomaly', 'OFA', 'PCA']"
msl_f-5,"['IForest', 'KMeansAD', 'LOF']","['ALLM4TS', 'RobustPCA', 'OmniAnomaly']"
msl_f-7,"['KMeansAD', 'PCA', 'OmniAnomaly']","['IForest', 'KMeansAD', 'MCD']"
msl_f-8,"['IForest', 'KMeansAD', 'ALLM4TS']","['IForest', 'Donut', 'AutoEncoder']"
msl_m-1,"['IForest', 'KMeansAD', 'Donut']","['KMeansAD', 'Donut', 'OFA']"
msl_m-2,"['IForest', 'KMeansAD', 'ALLM4TS']","['ALLM4TS', 'OCSVM', 'Donut']"
msl_m-3,"['IForest', 'KMeansAD', 'ALLM4TS']","['IForest', 'ALLM4TS', 'COPOD']"
msl_m-4,"['IForest', 'KMeansAD', 'ALLM4TS']","['IForest', 'OCSVM', 'MCD']"
msl_m-5,"['KMeansAD', 'PCA', 'OmniAnomaly']","['KMeansAD', 'OmniAnomaly', 'PCA']"
msl_m-6,"['IForest', 'KMeansAD', 'ALLM4TS']","['ALLM4TS', 'RobustPCA', 'PCA']"
msl_m-7,"['IForest', 'KMeansAD', 'ALLM4TS']","['IForest', 'COPOD', 'HBOS']"
msl_p-10,"['IForest', 'MCD', 'ALLM4TS']","['OmniAnomaly', 'PCA', 'OFA']"
msl_p-11,"['IForest', 'KMeansAD', 'ALLM4TS']","['IForest', 'KMeansAD', 'Donut']"
msl_p-14,"['IForest', 'MCD', 'ALLM4TS']","['OmniAnomaly', 'PCA', 'IForest']"
msl_p-15,"['IForest', 'KMeansAD', 'LOF']","['IForest', 'RobustPCA', 'Donut']"
msl_s-2,"['KMeansAD', 'PCA', 'OmniAnomaly']","['KMeansAD', 'IForest', 'OFA']"
msl_t-12,"['IForest', 'KMeansAD', 'ALLM4TS']","['OFA', 'PCA', 'OmniAnomaly']"
msl_t-13,"['IForest', 'KMeansAD', 'Donut']","['RobustPCA', 'PCA', 'Donut']"
msl_t-4,"['IForest', 'KMeansAD', 'ALLM4TS']","['OCSVM', 'AutoEncoder', 'MCD']"
msl_t-5,"['KMeansAD', 'PCA', 'OmniAnomaly']","['KMeansAD', 'OmniAnomaly', 'PCA']"
msl_t-8,"['KMeansAD', 'PCA', 'OmniAnomaly']","['KMeansAD', 'IForest', 'ALLM4TS']"
opportunity_s1-adl2,"['PCA', 'KMeansAD', 'ALLM4TS']","['CBLOF', 'MCD', 'IForest']"
opportunity_s1-adl3,"['PCA', 'KMeansAD', 'ALLM4TS']","['MCD', 'CBLOF', 'OCSVM']"
opportunity_s1-adl4,"['PCA', 'KMeansAD', 'ALLM4TS']","['MCD', 'OCSVM', 'IForest']"
opportunity_s1-adl5,"['PCA', 'KMeansAD', 'ALLM4TS']","['MCD', 'CBLOF', 'OCSVM']"
opportunity_s2-adl1,"['PCA', 'KMeansAD', 'ALLM4TS']","['CBLOF', 'IForest', 'MCD']"
opportunity_s2-adl2,"['PCA', 'KMeansAD', 'ALLM4TS']","['IForest', 'MCD', 'KMeansAD']"
opportunity_s3-adl3,"['PCA', 'KMeansAD', 'ALLM4TS']","['IForest', 'MCD', 'CBLOF']"
opportunity_s3-adl4,"['PCA', 'KMeansAD', 'ALLM4TS']","['IForest', 'MCD', 'COPOD']"
opportunity_s3-adl5,"['PCA', 'KMeansAD', 'ALLM4TS']","['MCD', 'IForest', 'KMeansAD']"
opportunity_s4-adl2,"['PCA', 'KMeansAD', 'ALLM4TS']","['MCD', 'CBLOF', 'AutoEncoder']"
opportunity_s4-adl3,"['PCA', 'KMeansAD', 'ALLM4TS']","['MCD', 'KMeansAD', 'AutoEncoder']"
opportunity_s4-adl4,"['PCA', 'KMeansAD', 'ALLM4TS']","['MCD', 'KMeansAD', 'IForest']"
opportunity_s4-adl5,"['PCA', 'KMeansAD', 'ALLM4TS']","['MCD', 'KMeansAD', 'AnomalyTransformer']"
psm,"['OmniAnomaly', 'PCA', 'MCD']","['CNN', 'LSTMAD', 'Donut']"
room-occupancy_1,"['KMeansAD', 'OFA', 'ALLM4TS']","['OCSVM', 'MCD', 'COPOD']"
room-occupancy,"['KMeansAD', 'ALLM4TS', 'AutoEncoder']","['ALLM4TS', 'Donut', 'AutoEncoder']"
smap_a-1,"['IForest', 'MCD', 'ALLM4TS']","['PCA', 'OmniAnomaly', 'OFA']"
smap_a-2,"['IForest', 'KMeansAD', 'ALLM4TS']","['IForest', 'EIF', 'OCSVM']"
smap_a-3,"['IForest', 'KMeansAD', 'ALLM4TS']","['IForest', 'AutoEncoder', 'Donut']"
smap_a-4,"['IForest', 'KMeansAD', 'ALLM4TS']","['AutoEncoder', 'Donut', 'EIF']"
smap_a-5,"['OmniAnomaly', 'PCA', 'KMeansAD']","['KMeansAD', 'IForest', 'OmniAnomaly']"
smap_a-6,"['PCA', 'OmniAnomaly', 'KMeansAD']","['KMeansAD', 'TranAD', 'USAD']"
smap_a-8,"['MCD', 'IForest', 'ALLM4TS']","['RobustPCA', 'ALLM4TS', 'USAD']"
smap_a-9,"['IForest', 'KMeansAD', 'ALLM4TS']","['RobustPCA', 'ALLM4TS', 'TranAD']"
smap_b-1,"['MCD', 'IForest', 'ALLM4TS']","['IForest', 'LSTMAD', 'TimesNet']"
smap_d-1,"['IForest', 'MCD', 'ALLM4TS']","['MCD', 'OCSVM', 'AutoEncoder']"
smap_d-11,"['MCD', 'IForest', 'Donut']","['IForest', 'Donut', 'FITS']"
smap_d-2,"['IForest', 'MCD', 'ALLM4TS']","['AutoEncoder', 'OCSVM', 'MCD']"
smap_d-3,"['IForest', 'KMeansAD', 'ALLM4TS']","['MCD', 'OCSVM', 'AutoEncoder']"
smap_d-4,"['IForest', 'KMeansAD', 'ALLM4TS']","['MCD', 'AutoEncoder', 'OCSVM']"
smap_d-5,"['IForest', 'MCD', 'ALLM4TS']","['OmniAnomaly', 'PCA', 'KMeansAD']"
smap_d-6,"['IForest', 'MCD', 'ALLM4TS']","['PCA', 'IForest', 'OmniAnomaly']"
smap_d-7,"['IForest', 'MCD', 'ALLM4TS']","['MCD', 'AutoEncoder', 'OCSVM']"
smap_d-8,"['IForest', 'MCD', 'ALLM4TS']","['IForest', 'PCA', 'OmniAnomaly']"
smap_d-9,"['MCD', 'IForest', 'ALLM4TS']","['AutoEncoder', 'MCD', 'OCSVM']"
smap_e-1,"['IForest', 'MCD', 'ALLM4TS']","['IForest', 'MCD', 'CBLOF']"
smap_e-10,"['IForest', 'MCD', 'ALLM4TS']","['IForest', 'MCD', 'LOF']"
smap_e-11,"['IForest', 'KMeansAD', 'ALLM4TS']","['IForest', 'AutoEncoder', 'MCD']"
smap_e-12,"['IForest', 'KMeansAD', 'ALLM4TS']","['LOF', 'OCSVM', 'IForest']"
smap_e-13,"['IForest', 'MCD', 'ALLM4TS']","['ALLM4TS', 'KMeansAD', 'IForest']"
smap_e-2,"['IForest', 'MCD', 'ALLM4TS']","['RobustPCA', 'IForest', 'TranAD']"
smap_e-3,"['IForest', 'MCD', 'ALLM4TS']","['OCSVM', 'MCD', 'IForest']"
smap_e-4,"['IForest', 'MCD', 'ALLM4TS']","['IForest', 'Donut', 'LSTMAD']"
smap_e-5,"['IForest', 'MCD', 'ALLM4TS']","['PCA', 'OmniAnomaly', 'IForest']"
smap_e-6,"['IForest', 'MCD', 'ALLM4TS']","['PCA', 'OmniAnomaly', 'KMeansAD']"
smap_e-7,"['IForest', 'MCD', 'ALLM4TS']","['OmniAnomaly', 'PCA', 'IForest']"
smap_e-8,"['IForest', 'MCD', 'ALLM4TS']","['IForest', 'PCA', 'OmniAnomaly']"
smap_e-9,"['IForest', 'MCD', 'ALLM4TS']","['OmniAnomaly', 'PCA', 'OFA']"
smap_f-1,"['PCA', 'OmniAnomaly', 'KMeansAD']","['ALLM4TS', 'RobustPCA', 'LOF']"
smap_f-2,"['MCD', 'IForest', 'ALLM4TS']","['RobustPCA', 'ALLM4TS', 'TranAD']"
smap_f-3,"['IForest', 'MCD', 'ALLM4TS']","['OmniAnomaly', 'PCA', 'KMeansAD']"
smap_g-1,"['IForest', 'KMeansAD', 'ALLM4TS']","['EIF', 'MCD', 'OCSVM']"
smap_g-2,"['IForest', 'KMeansAD', 'ALLM4TS']","['PCA', 'OmniAnomaly', 'KMeansAD']"
smap_g-3,"['IForest', 'KMeansAD', 'ALLM4TS']","['PCA', 'OmniAnomaly', 'OFA']"
smap_g-6,"['KMeansAD', 'IForest', 'LOF']","['RobustPCA', 'IForest', 'TranAD']"
