dataset,prediction,ground_truth
daphnet_s07r01e0,"['OmniAnomaly', 'PCA', 'KMeansAD', 'IForest', 'MCD', 'HBOS', 'CNN', 'EIF', 'COPOD', 'CBLOF', 'TimesNet', 'KNN', 'USAD', 'TranAD', 'LSTMAD', 'OFA', 'FITS', 'OCSVM', 'ALLM4TS', 'RobustPCA', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['KMeansAD', 'OFA', 'KNN', 'IForest', 'FITS', 'LOF', 'PCA', 'OmniAnomaly', 'TimesNet', 'CBLOF', 'COPOD', 'EIF', 'LSTMAD', 'HBOS', 'CNN', 'USAD', 'MCD', 'OCSVM', 'TranAD', 'Donut', 'AutoEncoder', 'RobustPCA', 'AnomalyTransformer', 'ALLM4TS']"
daphnet_s09r01e0,"['OmniAnomaly', 'PCA', 'KMeansAD', 'MCD', 'IForest', 'CNN', 'HBOS', 'EIF', 'COPOD', 'TimesNet', 'CBLOF', 'KNN', 'OFA', 'LSTMAD', 'USAD', 'FITS', 'TranAD', 'ALLM4TS', 'OCSVM', 'RobustPCA', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['KMeansAD', 'LOF', 'KNN', 'OmniAnomaly', 'PCA', 'IForest', 'CBLOF', 'LSTMAD', 'CNN', 'EIF', 'MCD', 'OCSVM', 'HBOS', 'COPOD', 'USAD', 'TranAD', 'FITS', 'AnomalyTransformer', 'AutoEncoder', 'RobustPCA', 'TimesNet', 'Donut', 'ALLM4TS', 'OFA']"
daphnet_s09r01e1,"['OmniAnomaly', 'PCA', 'KMeansAD', 'MCD', 'IForest', 'CNN', 'HBOS', 'EIF', 'COPOD', 'TimesNet', 'CBLOF', 'KNN', 'LSTMAD', 'USAD', 'OFA', 'TranAD', 'FITS', 'ALLM4TS', 'OCSVM', 'RobustPCA', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['KMeansAD', 'LOF', 'CBLOF', 'AnomalyTransformer', 'KNN', 'FITS', 'RobustPCA', 'IForest', 'AutoEncoder', 'TimesNet', 'OFA', 'MCD', 'OCSVM', 'EIF', 'HBOS', 'COPOD', 'LSTMAD', 'USAD', 'Donut', 'ALLM4TS', 'TranAD', 'CNN', 'OmniAnomaly', 'PCA']"
daphnet_s09r01e2,"['OmniAnomaly', 'PCA', 'KMeansAD', 'MCD', 'IForest', 'CNN', 'HBOS', 'EIF', 'COPOD', 'CBLOF', 'TimesNet', 'KNN', 'USAD', 'LSTMAD', 'TranAD', 'OFA', 'FITS', 'ALLM4TS', 'OCSVM', 'RobustPCA', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['COPOD', 'Donut', 'TranAD', 'USAD', 'KNN', 'KMeansAD', 'HBOS', 'CNN', 'EIF', 'FITS', 'ALLM4TS', 'OmniAnomaly', 'PCA', 'LSTMAD', 'OFA', 'CBLOF', 'TimesNet', 'IForest', 'LOF', 'AnomalyTransformer', 'AutoEncoder', 'MCD', 'OCSVM', 'RobustPCA']"
daphnet_s09r01e3,"['OmniAnomaly', 'PCA', 'KMeansAD', 'MCD', 'IForest', 'CNN', 'HBOS', 'EIF', 'COPOD', 'TimesNet', 'CBLOF', 'KNN', 'LSTMAD', 'USAD', 'OFA', 'TranAD', 'FITS', 'ALLM4TS', 'OCSVM', 'RobustPCA', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['KMeansAD', 'IForest', 'OFA', 'OmniAnomaly', 'PCA', 'COPOD', 'KNN', 'ALLM4TS', 'FITS', 'HBOS', 'TimesNet', 'EIF', 'CBLOF', 'LSTMAD', 'USAD', 'TranAD', 'Donut', 'LOF', 'AutoEncoder', 'CNN', 'MCD', 'AnomalyTransformer', 'OCSVM', 'RobustPCA']"
exathlon_1_2_100000_68,"['OmniAnomaly', 'MCD', 'PCA', 'IForest', 'CNN', 'KMeansAD', 'HBOS', 'OFA', 'EIF', 'TimesNet', 'COPOD', 'KNN', 'LSTMAD', 'CBLOF', 'FITS', 'ALLM4TS', 'OCSVM', 'RobustPCA', 'AutoEncoder', 'USAD', 'TranAD', 'Donut', 'LOF', 'AnomalyTransformer']","['MCD', 'AutoEncoder', 'RobustPCA', 'ALLM4TS', 'KMeansAD', 'OFA', 'HBOS', 'AnomalyTransformer', 'LOF', 'LSTMAD', 'CNN', 'FITS', 'Donut', 'TimesNet', 'OmniAnomaly', 'PCA', 'TranAD', 'COPOD', 'OCSVM', 'CBLOF', 'USAD', 'IForest', 'EIF', 'KNN']"
exathlon_1_4_1000000_80,"['OFA', 'MCD', 'ALLM4TS', 'RobustPCA', 'TimesNet', 'OCSVM', 'OmniAnomaly', 'AutoEncoder', 'PCA', 'CNN', 'IForest', 'HBOS', 'FITS', 'LSTMAD', 'COPOD', 'EIF', 'KMeansAD', 'KNN', 'CBLOF', 'TranAD', 'USAD', 'Donut', 'LOF', 'AnomalyTransformer']","['AutoEncoder', 'Donut', 'USAD', 'TranAD', 'PCA', 'OmniAnomaly', 'LSTMAD', 'CNN', 'OFA', 'KNN', 'ALLM4TS', 'CBLOF', 'EIF', 'KMeansAD', 'TimesNet', 'HBOS', 'MCD', 'COPOD', 'LOF', 'RobustPCA', 'IForest', 'FITS', 'AnomalyTransformer', 'OCSVM']"
exathlon_1_5_1000000_86,"['OmniAnomaly', 'PCA', 'KMeansAD', 'MCD', 'IForest', 'CNN', 'HBOS', 'EIF', 'COPOD', 'TimesNet', 'CBLOF', 'KNN', 'OFA', 'LSTMAD', 'USAD', 'FITS', 'TranAD', 'ALLM4TS', 'OCSVM', 'RobustPCA', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['IForest', 'KMeansAD', 'USAD', 'COPOD', 'CNN', 'TranAD', 'PCA', 'OmniAnomaly', 'LSTMAD', 'EIF', 'HBOS', 'Donut', 'FITS', 'TimesNet', 'MCD', 'OFA', 'OCSVM', 'AutoEncoder', 'CBLOF', 'KNN', 'LOF', 'AnomalyTransformer', 'ALLM4TS', 'RobustPCA']"
exathlon_10_2_1000000_67,"['MCD', 'OmniAnomaly', 'OFA', 'PCA', 'CNN', 'IForest', 'TimesNet', 'HBOS', 'KMeansAD', 'EIF', 'COPOD', 'ALLM4TS', 'LSTMAD', 'FITS', 'OCSVM', 'RobustPCA', 'KNN', 'AutoEncoder', 'CBLOF', 'TranAD', 'USAD', 'Donut', 'LOF', 'AnomalyTransformer']","['AutoEncoder', 'MCD', 'OCSVM', 'RobustPCA', 'IForest', 'KNN', 'COPOD', 'KMeansAD', 'OFA', 'HBOS', 'TimesNet', 'AnomalyTransformer', 'FITS', 'PCA', 'LOF', 'EIF', 'CBLOF', 'Donut', 'LSTMAD', 'USAD', 'TranAD', 'OmniAnomaly', 'CNN', 'ALLM4TS']"
exathlon_10_3_1000000_75,"['OmniAnomaly', 'MCD', 'PCA', 'IForest', 'CNN', 'KMeansAD', 'HBOS', 'OFA', 'EIF', 'TimesNet', 'COPOD', 'KNN', 'LSTMAD', 'CBLOF', 'FITS', 'ALLM4TS', 'OCSVM', 'RobustPCA', 'AutoEncoder', 'USAD', 'TranAD', 'Donut', 'LOF', 'AnomalyTransformer']","['Donut', 'USAD', 'CNN', 'OmniAnomaly', 'PCA', 'TranAD', 'LSTMAD', 'OFA', 'MCD', 'IForest', 'ALLM4TS', 'RobustPCA', 'TimesNet', 'COPOD', 'AutoEncoder', 'EIF', 'HBOS', 'CBLOF', 'FITS', 'KMeansAD', 'OCSVM', 'KNN', 'LOF', 'AnomalyTransformer']"
exathlon_2_1_100000_60,"['MCD', 'OmniAnomaly', 'PCA', 'IForest', 'CNN', 'KMeansAD', 'HBOS', 'OFA', 'TimesNet', 'EIF', 'COPOD', 'LSTMAD', 'KNN', 'FITS', 'ALLM4TS', 'CBLOF', 'OCSVM', 'RobustPCA', 'AutoEncoder', 'USAD', 'TranAD', 'Donut', 'LOF', 'AnomalyTransformer']","['IForest', 'LSTMAD', 'CNN', 'KMeansAD', 'PCA', 'OmniAnomaly', 'EIF', 'TranAD', 'COPOD', 'CBLOF', 'HBOS', 'KNN', 'USAD', 'OFA', 'FITS', 'TimesNet', 'Donut', 'ALLM4TS', 'RobustPCA', 'AnomalyTransformer', 'LOF', 'MCD', 'AutoEncoder', 'OCSVM']"
exathlon_2_2_200000_69,"['OmniAnomaly', 'PCA', 'KMeansAD', 'MCD', 'IForest', 'CNN', 'HBOS', 'EIF', 'COPOD', 'CBLOF', 'TimesNet', 'KNN', 'LSTMAD', 'USAD', 'OFA', 'TranAD', 'FITS', 'ALLM4TS', 'OCSVM', 'RobustPCA', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['PCA', 'OmniAnomaly', 'MCD', 'OFA', 'ALLM4TS', 'AutoEncoder', 'OCSVM', 'KMeansAD', 'CNN', 'Donut', 'LSTMAD', 'FITS', 'TimesNet', 'TranAD', 'IForest', 'HBOS', 'EIF', 'USAD', 'COPOD', 'LOF', 'CBLOF', 'KNN', 'AnomalyTransformer', 'RobustPCA']"
exathlon_2_5_1000000_87,"['OmniAnomaly', 'PCA', 'MCD', 'IForest', 'KMeansAD', 'CNN', 'HBOS', 'EIF', 'TimesNet', 'COPOD', 'OFA', 'KNN', 'CBLOF', 'LSTMAD', 'FITS', 'ALLM4TS', 'OCSVM', 'USAD', 'TranAD', 'RobustPCA', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['FITS', 'Donut', 'OmniAnomaly', 'PCA', 'OFA', 'LSTMAD', 'TranAD', 'OCSVM', 'USAD', 'AutoEncoder', 'CBLOF', 'EIF', 'KMeansAD', 'CNN', 'TimesNet', 'MCD', 'HBOS', 'IForest', 'KNN', 'RobustPCA', 'COPOD', 'AnomalyTransformer', 'ALLM4TS', 'LOF']"
exathlon_2_5_1000000_88,"['OFA', 'MCD', 'OmniAnomaly', 'PCA', 'CNN', 'TimesNet', 'IForest', 'HBOS', 'KMeansAD', 'ALLM4TS', 'EIF', 'COPOD', 'OCSVM', 'RobustPCA', 'LSTMAD', 'FITS', 'AutoEncoder', 'KNN', 'CBLOF', 'TranAD', 'USAD', 'Donut', 'LOF', 'AnomalyTransformer']","['IForest', 'KMeansAD', 'CNN', 'LSTMAD', 'KNN', 'USAD', 'CBLOF', 'TimesNet', 'PCA', 'ALLM4TS', 'OmniAnomaly', 'EIF', 'FITS', 'RobustPCA', 'TranAD', 'LOF', 'Donut', 'OFA', 'MCD', 'OCSVM', 'HBOS', 'COPOD', 'AnomalyTransformer', 'AutoEncoder']"
exathlon_3_2_500000_70,"['OmniAnomaly', 'PCA', 'MCD', 'KMeansAD', 'IForest', 'CNN', 'HBOS', 'EIF', 'COPOD', 'TimesNet', 'CBLOF', 'KNN', 'OFA', 'LSTMAD', 'FITS', 'USAD', 'TranAD', 'ALLM4TS', 'OCSVM', 'RobustPCA', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['OCSVM', 'AutoEncoder', 'HBOS', 'IForest', 'MCD', 'EIF', 'PCA', 'Donut', 'LSTMAD', 'OmniAnomaly', 'KMeansAD', 'TranAD', 'COPOD', 'KNN', 'CBLOF', 'CNN', 'OFA', 'USAD', 'TimesNet', 'LOF', 'RobustPCA', 'FITS', 'ALLM4TS', 'AnomalyTransformer']"
exathlon_4_1_100000_61,"['OFA', 'MCD', 'OmniAnomaly', 'PCA', 'ALLM4TS', 'TimesNet', 'CNN', 'IForest', 'RobustPCA', 'OCSVM', 'HBOS', 'AutoEncoder', 'KMeansAD', 'EIF', 'COPOD', 'FITS', 'LSTMAD', 'KNN', 'CBLOF', 'TranAD', 'USAD', 'Donut', 'LOF', 'AnomalyTransformer']","['AutoEncoder', 'ALLM4TS', 'RobustPCA', 'KMeansAD', 'OFA', 'FITS', 'Donut', 'TimesNet', 'LOF', 'EIF', 'TranAD', 'LSTMAD', 'KNN', 'OmniAnomaly', 'PCA', 'CNN', 'USAD', 'IForest', 'MCD', 'AnomalyTransformer', 'OCSVM', 'CBLOF', 'HBOS', 'COPOD']"
exathlon_4_5_1000000_90,"['MCD', 'OmniAnomaly', 'PCA', 'OFA', 'CNN', 'IForest', 'HBOS', 'KMeansAD', 'TimesNet', 'EIF', 'COPOD', 'LSTMAD', 'ALLM4TS', 'FITS', 'KNN', 'OCSVM', 'CBLOF', 'RobustPCA', 'AutoEncoder', 'TranAD', 'USAD', 'Donut', 'LOF', 'AnomalyTransformer']","['PCA', 'OmniAnomaly', 'IForest', 'CNN', 'KMeansAD', 'LSTMAD', 'TranAD', 'CBLOF', 'Donut', 'USAD', 'KNN', 'EIF', 'HBOS', 'AnomalyTransformer', 'TimesNet', 'COPOD', 'FITS', 'OFA', 'LOF', 'MCD', 'OCSVM', 'AutoEncoder', 'ALLM4TS', 'RobustPCA']"
exathlon_5_1_100000_63,"['OFA', 'MCD', 'OmniAnomaly', 'PCA', 'ALLM4TS', 'TimesNet', 'CNN', 'IForest', 'RobustPCA', 'OCSVM', 'HBOS', 'AutoEncoder', 'KMeansAD', 'EIF', 'COPOD', 'FITS', 'LSTMAD', 'KNN', 'CBLOF', 'TranAD', 'USAD', 'Donut', 'LOF', 'AnomalyTransformer']","['RobustPCA', 'MCD', 'AutoEncoder', 'ALLM4TS', 'OmniAnomaly', 'PCA', 'LSTMAD', 'TranAD', 'CNN', 'Donut', 'OCSVM', 'USAD', 'KMeansAD', 'EIF', 'OFA', 'FITS', 'LOF', 'TimesNet', 'HBOS', 'COPOD', 'AnomalyTransformer', 'KNN', 'CBLOF', 'IForest']"
exathlon_5_1_100000_64,"['MCD', 'OFA', 'OmniAnomaly', 'PCA', 'CNN', 'IForest', 'TimesNet', 'HBOS', 'KMeansAD', 'EIF', 'COPOD', 'ALLM4TS', 'OCSVM', 'LSTMAD', 'FITS', 'RobustPCA', 'AutoEncoder', 'KNN', 'CBLOF', 'TranAD', 'USAD', 'Donut', 'LOF', 'AnomalyTransformer']","['OFA', 'Donut', 'OmniAnomaly', 'PCA', 'USAD', 'CNN', 'LSTMAD', 'TranAD', 'TimesNet', 'ALLM4TS', 'FITS', 'RobustPCA', 'KMeansAD', 'CBLOF', 'KNN', 'EIF', 'LOF', 'OCSVM', 'MCD', 'HBOS', 'COPOD', 'AnomalyTransformer', 'IForest', 'AutoEncoder']"
exathlon_5_2_1000000_72,"['OmniAnomaly', 'PCA', 'MCD', 'IForest', 'KMeansAD', 'CNN', 'HBOS', 'EIF', 'TimesNet', 'COPOD', 'OFA', 'KNN', 'CBLOF', 'LSTMAD', 'FITS', 'ALLM4TS', 'OCSVM', 'RobustPCA', 'USAD', 'TranAD', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['OCSVM', 'AutoEncoder', 'OFA', 'ALLM4TS', 'MCD', 'RobustPCA', 'IForest', 'KMeansAD', 'COPOD', 'OmniAnomaly', 'Donut', 'PCA', 'FITS', 'LSTMAD', 'CNN', 'TimesNet', 'TranAD', 'EIF', 'USAD', 'KNN', 'HBOS', 'CBLOF', 'AnomalyTransformer', 'LOF']"
exathlon_5_4_1000000_82,"['OFA', 'MCD', 'OmniAnomaly', 'PCA', 'CNN', 'TimesNet', 'IForest', 'HBOS', 'ALLM4TS', 'KMeansAD', 'EIF', 'COPOD', 'OCSVM', 'RobustPCA', 'LSTMAD', 'FITS', 'AutoEncoder', 'KNN', 'CBLOF', 'TranAD', 'USAD', 'Donut', 'LOF', 'AnomalyTransformer']","['Donut', 'USAD', 'TranAD', 'PCA', 'OmniAnomaly', 'LSTMAD', 'CNN', 'TimesNet', 'OCSVM', 'MCD', 'AutoEncoder', 'LOF', 'FITS', 'OFA', 'ALLM4TS', 'KMeansAD', 'AnomalyTransformer', 'COPOD', 'EIF', 'IForest', 'CBLOF', 'HBOS', 'RobustPCA', 'KNN']"
exathlon_5_5_1000000_91,"['MCD', 'OmniAnomaly', 'PCA', 'IForest', 'CNN', 'KMeansAD', 'HBOS', 'OFA', 'TimesNet', 'EIF', 'COPOD', 'LSTMAD', 'KNN', 'FITS', 'ALLM4TS', 'CBLOF', 'OCSVM', 'RobustPCA', 'AutoEncoder', 'USAD', 'TranAD', 'Donut', 'LOF', 'AnomalyTransformer']","['OCSVM', 'MCD', 'KMeansAD', 'TranAD', 'CBLOF', 'CNN', 'LSTMAD', 'OmniAnomaly', 'PCA', 'FITS', 'TimesNet', 'KNN', 'EIF', 'HBOS', 'OFA', 'IForest', 'USAD', 'COPOD', 'AnomalyTransformer', 'LOF', 'AutoEncoder', 'ALLM4TS', 'RobustPCA', 'Donut']"
exathlon_6_3_200000_76,"['OmniAnomaly', 'MCD', 'PCA', 'IForest', 'CNN', 'KMeansAD', 'HBOS', 'OFA', 'TimesNet', 'EIF', 'COPOD', 'LSTMAD', 'KNN', 'FITS', 'CBLOF', 'ALLM4TS', 'OCSVM', 'RobustPCA', 'AutoEncoder', 'USAD', 'TranAD', 'Donut', 'LOF', 'AnomalyTransformer']","['Donut', 'USAD', 'TranAD', 'OmniAnomaly', 'PCA', 'LSTMAD', 'CNN', 'CBLOF', 'MCD', 'EIF', 'AutoEncoder', 'COPOD', 'IForest', 'OCSVM', 'RobustPCA', 'ALLM4TS', 'HBOS', 'AnomalyTransformer', 'KMeansAD', 'LOF', 'KNN', 'TimesNet', 'FITS', 'OFA']"
exathlon_8_3_200000_73,"['MCD', 'OmniAnomaly', 'PCA', 'OFA', 'CNN', 'IForest', 'TimesNet', 'HBOS', 'KMeansAD', 'EIF', 'COPOD', 'ALLM4TS', 'LSTMAD', 'FITS', 'OCSVM', 'KNN', 'RobustPCA', 'CBLOF', 'AutoEncoder', 'TranAD', 'USAD', 'Donut', 'LOF', 'AnomalyTransformer']","['Donut', 'USAD', 'OmniAnomaly', 'PCA', 'TranAD', 'CNN', 'OFA', 'LSTMAD', 'RobustPCA', 'ALLM4TS', 'FITS', 'TimesNet', 'AutoEncoder', 'AnomalyTransformer', 'OCSVM', 'HBOS', 'LOF', 'KMeansAD', 'CBLOF', 'COPOD', 'EIF', 'KNN', 'IForest', 'MCD']"
exathlon_8_4_1000000_77,"['OmniAnomaly', 'PCA', 'MCD', 'IForest', 'CNN', 'KMeansAD', 'HBOS', 'EIF', 'TimesNet', 'OFA', 'COPOD', 'KNN', 'LSTMAD', 'CBLOF', 'FITS', 'ALLM4TS', 'OCSVM', 'RobustPCA', 'USAD', 'TranAD', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['EIF', 'CNN', 'LSTMAD', 'TranAD', 'Donut', 'AutoEncoder', 'KMeansAD', 'OCSVM', 'ALLM4TS', 'USAD', 'LOF', 'OmniAnomaly', 'OFA', 'KNN', 'MCD', 'PCA', 'TimesNet', 'RobustPCA', 'FITS', 'AnomalyTransformer', 'CBLOF', 'HBOS', 'IForest', 'COPOD']"
exathlon_9_2_1000000_66,"['OmniAnomaly', 'PCA', 'KMeansAD', 'IForest', 'MCD', 'HBOS', 'CNN', 'EIF', 'COPOD', 'CBLOF', 'TimesNet', 'KNN', 'USAD', 'TranAD', 'LSTMAD', 'FITS', 'OFA', 'OCSVM', 'ALLM4TS', 'RobustPCA', 'AutoEncoder', 'Donut', 'LOF', 'AnomalyTransformer']","['MCD', 'OCSVM', 'ALLM4TS', 'Donut', 'RobustPCA', 'OFA', 'AutoEncoder', 'KMeansAD', 'PCA', 'CNN', 'OmniAnomaly', 'FITS', 'LSTMAD', 'TimesNet', 'LOF', 'TranAD', 'IForest', 'USAD', 'AnomalyTransformer', 'COPOD', 'EIF', 'CBLOF', 'HBOS', 'KNN']"
exathlon_9_3_500000_74,"['MCD', 'OmniAnomaly', 'PCA', 'IForest', 'CNN', 'OFA', 'KMeansAD', 'HBOS', 'TimesNet', 'EIF', 'COPOD', 'LSTMAD', 'KNN', 'FITS', 'ALLM4TS', 'CBLOF', 'OCSVM', 'RobustPCA', 'AutoEncoder', 'TranAD', 'USAD', 'Donut', 'LOF', 'AnomalyTransformer']","['Donut', 'USAD', 'TranAD', 'CNN', 'LSTMAD', 'PCA', 'OmniAnomaly', 'ALLM4TS', 'IForest', 'AnomalyTransformer', 'AutoEncoder', 'OFA', 'TimesNet', 'HBOS', 'OCSVM', 'COPOD', 'LOF', 'EIF', 'FITS', 'MCD', 'KNN', 'CBLOF', 'KMeansAD', 'RobustPCA']"
